group,CD3,CD8,CD27,CD38,CD127,CD94
healthy,-0.163173756280339,-0.282625117339976,0.230079519476499,0.19458760373157,-0.130323652050614,-0.284524723634446
healthy,-0.361017238593142,-0.243226193591256,-0.266974932999757,-0.0484137224429692,-0.189174027505832,-0.179621552491909
healthy,-0.414299501227315,-0.253345127623211,0.404503526469044,-0.0755660530979679,0.213559885796621,-0.347180017172212
healthy,0.222483754323164,-0.0396100912252153,-0.613244834263868,0.236738908409747,-0.366073733664857,0.304270788278216
healthy,0.24468598478658,0.56430492948371,0.382484807810384,-0.332425653933518,0.566680984681228,-0.446261648075307
moderate,-0.218761282036318,-0.308375063810025,-0.0291063149689399,0.370449152865349,-0.0835641577998456,0.129078402520891
moderate,-0.509070804822859,-0.347758499414797,0.177909564356351,0.152115109700813,-0.0944315218548658,-0.0443978204921458
moderate,-0.364438805601945,0.161585305597602,0.541600855112656,0.296897154928106,0.284569525665149,0.228997736113739
severe,0.626177733898463,0.564272939163083,0.504325313189446,-0.657378106619849,0.436532764970235,-0.287780035830654
severe,-0.506943658072739,-0.465841084492471,0.0107959259635789,0.128501583185035,0.0072959635234701,0.263502113563267
severe,0.061187516936504,-0.176476553494497,-0.455313482915682,0.568593297530922,-0.72411867728791,0.584069690209678
