group,CD8,CD28,CD95,CD197,CD27,CD38,CD127
healthy,-0.11646156005546,-0.328145887638153,-0.125277803273064,-0.266266710010035,-0.513186904619293,-0.211570853147416,-0.308581952960758
healthy,-0.329417770531595,-0.16500318908669,-0.12078814344122,-0.0841244507641624,-0.137997099343998,-0.0740672343394795,-0.0064420542495046
healthy,-0.347723865038863,-0.232896236753271,-0.196801202819623,-0.161550617020919,-0.2507262774272,-0.0069026544798595,-0.283415487389158
healthy,0.206919894649415,0.279769867283854,-0.541432126766043,0.137472714493778,0.725240219886069,-0.111093112482058,0.444991174835094
healthy,0.0307649825456369,-0.383181861089387,0.0569967494204659,-0.589102023558291,-0.518458233438888,-0.0964969725255285,-0.208314237341126
moderate,-0.532014056855122,-0.001558810059896,0.137407414612623,0.059007253136647,-0.131158510112909,0.0574964266897629,-0.21036480087317
moderate,-0.397926147133047,-0.14935718949303,-0.106712923861561,-0.119653254443937,-0.233071878043621,0.0801980529486311,-0.109352111241352
moderate,-0.462747297771492,-0.56708486928526,0.339510589875818,-0.0765702329340841,-0.755395765377095,0.171976436181334,-0.578690465344123
severe,0.172800606258164,0.0386859135046351,-0.0688157820333903,-0.168396760848587,0.242064296167539,-0.588154301975471,0.403032508281827
severe,0.144714375957245,-0.19058667471993,-0.262986508732891,0.164710738228543,-0.147366790037436,-0.381725349325612,-0.185104500562546
severe,-0.317698113722218,-0.430052905908407,0.346782519417864,-0.271547297601718,-0.605524356425595,0.469738111114303,-0.811328301135588
