group,CD28,CD95,CD45RO,CD27,CD127,CD94
healthy,0.201590196861453,-0.119844948978676,-0.11216238287862,0.455426548211031,0.102254579808317,-0.281589768976225
healthy,-0.308347171084809,-0.192212939941147,-0.2997011192491,-0.323918317775133,-0.174932558355544,-0.0050928687469867
healthy,0.543237010440704,0.125289374685093,0.241485930753883,0.59138709686411,0.387716063662702,-0.216388356631262
healthy,-0.171481061814213,0.580540774734158,0.324018945742229,-0.68915533996548,-0.35054218646206,0.36029748738398
healthy,-0.075113389622691,0.532532445843359,0.617735818887166,-0.291496345134892,-0.360089945564357,0.321286046641109
moderate,-0.269337260291416,0.0035410925077748,-0.194524287840213,-0.296184086017724,-0.495253265483547,-0.121448938392662
moderate,0.313454941710315,-0.148488581171227,-0.166498818736801,0.406775438826483,0.146832815701323,-0.190622133391283
moderate,-0.388193658703517,0.345710652445956,-0.0326358818190431,-0.488525728024487,-0.517821850896556,0.602846046224095
severe,-0.123030035693923,-0.114882639578322,-0.176238987518561,-0.29325281535875,-0.391073986105398,-0.0985833268477045
severe,0.0012453249956388,-0.135344417572622,0.130055527318379,0.0306043786313366,0.0542027052987155,-0.246317537871598
severe,0.591924206067519,-0.38833193581324,-0.0519666739496935,0.742585692539106,0.732999573701198,-0.522861442820322
