group,CD28,CD95,CD45RO,CD45RA,CD11c,CD27,CD38
healthy,0.380423500303322,0.0396909042305073,0.182043635185928,-0.0954934130948137,0.0520376041650446,0.433636828940771,-0.0286673597388077
healthy,0.42150337745511,0.0745747526633585,0.480365224273185,-0.331943174252215,-0.13177217890908,0.591745137640735,-0.126115134898414
healthy,0.51333787880791,0.0792642989830505,0.393807067526669,-0.55051595936506,-0.081378772683943,0.539221734074218,-0.136082074221144
healthy,-0.18331029020885,0.625631843833718,0.580401962070573,-0.574068729469587,-0.0394599266133228,-0.538599175636777,-0.0753980001042965
healthy,-0.504245721908939,-0.270032107495719,-0.772851172168214,0.63233296125951,0.0230628114043999,-0.379863247069601,0.139912527785937
moderate,-0.277549725720865,0.0931405893558919,-0.0930496337728725,0.192420954559816,-0.116254203696601,-0.370846208549093,-0.184002252126758
moderate,0.302496607138088,0.0280909846795599,-0.129643564961143,0.0309921604685108,-0.205865260167711,0.53212656593651,-0.431769181160997
moderate,0.0872416866604837,-0.0398991670640525,-0.0074016532273508,-0.22902792994053,-0.334117841859637,0.0436892428283027,-0.375573566683858
severe,-0.205366304351092,-0.0635120132071118,-0.0163164901404495,0.101488009956338,-0.500990722022251,-0.0215987036404768,-0.798448368651671
severe,-0.203538153627693,-0.244749659203584,-0.134279847868284,0.0737628725751642,-0.43176045003117,-0.124430582742937,-0.2712698713524
severe,-0.461674592180698,-0.0672531144929769,-0.254443519129,-0.0457614059339086,-0.086739498423248,-0.428664367307298,-0.512632322794096
