group,ARNT,ASCL1,ATF1,ATF2,ATF3,BACH2,CEBPB,CTCF,E2F3,E2F6,E2F8,ELF2,ELK1,ETS2,ETV1,FOS,FOSL2,GATA3,GMEB1,GTF2B,GTF2I,HEY1,HOXA6,JUN,JUND,KLF1,KLF10,KLF9,MAFK,MAX,MBD2,MZF1,NFAT5,NFE2L2,NRF1,RBPJ,SIX5,SP1,SPI1,TAL1,TCF4,TCF7L2,VEZF1,ZBTB7A,ZEB1,ZKSCAN1,ZNF143,ZNF263
healthy,0.1108740081304,-0.179538813247488,0.197734887473666,-0.172830164697762,0.168240165286352,0.0043391577896905,0.149642255999492,-0.140222334205153,0.0844158200305242,0.177001663740289,-0.0009137186220717,-0.115945864815148,0.144028633131752,0.149183672691057,-0.211741360684615,0.160959580599131,-0.203165191951192,-0.159240898857646,-0.161161288294946,-0.160308484247679,0.169854114185779,-0.0141482719971102,-0.225162393111769,-0.144692659463704,0.186658635177147,0.145828917416843,0.206343668491242,0.124454797649966,-0.113311309454842,0.151078920499605,0.0829912235122124,-0.17916959047096,-0.188725995392809,0.244007408692647,-0.370222407688152,0.196987965600058,-0.156573012880936,-0.140517856092826,0.167877982165873,-0.115686690539328,-0.129325952304048,-0.177318160929664,0.212897731940756,0.135866798440162,0.124182262394295,0.186002654166396,0.0636656436560459,0.147725458223442
healthy,-0.0140682062464245,-0.0075512007368706,0.0189641072831109,0.0844684810508446,0.0089083428462969,-0.0054141544280754,0.0148434408380655,-0.0235118734540403,0.0178087081692919,0.0436639873962566,0.0144484239078085,-0.0612068932570993,0.0274156123753619,0.029504228940282,0.0037432983735835,0.0222318296901301,-0.0141477024986116,-0.0253606594974474,0.0598177945576603,0.153856586828838,0.0053813077563621,0.0049825445120815,-0.0084191898125976,0.0110054616841782,0.0883679356236818,0.0766604718161415,0.0454943673471828,-0.0080663853391127,-0.0489250743414276,0.0087583109405356,0.0155343302249713,-0.0260385164940798,0.0939997548819645,0.0091368082201251,-0.0064008764172253,-0.0354057761658577,0.014979198224613,0.0154606992126472,0.033664776359436,-0.11746372998419,-0.0398819903958981,-0.0059230619616079,-0.0054301426866829,-0.0036691891084054,-0.0805722679695739,-0.0009508729522971,-0.0038227414865646,0.0176846480504668
healthy,0.155519053941036,-0.217682574773187,0.0451363777632486,-0.175781324475776,0.185523210559316,-0.235685755050917,0.206052953402291,-0.188350538974282,0.184135201963214,0.208803068048918,-0.167684582120265,-0.318219167152043,0.232555957791779,0.2861912655947,-0.180022581062366,0.234550538950896,-0.146627685860427,-0.242300389852021,0.17763585988634,-0.110836558258462,0.188532512446181,-0.215473731367409,-0.215873628524035,-0.166913466233542,0.284946717251022,0.202671325838936,0.233966667303893,-0.155507388429057,-0.216116049783918,0.189645947247194,-0.199957714878334,-0.182060920663862,0.214734086818112,0.0155490971562564,0.161371317731914,-0.221204793043318,-0.179774301501576,-0.159460651624295,0.255658278110024,0.0939047232739248,-0.216272069620407,-0.224786846023431,0.406716729779378,0.164269669530396,0.116930391811998,0.266616919667826,-0.314081810256816,0.0863097256580911
healthy,-0.162512293168975,-0.0188632307913362,-0.0269307382516578,-0.0206393850373797,0.0129206268283325,-0.0612557750856702,-0.0384663850898818,-0.044713061107894,-0.0509652628518218,0.101351961249654,0.0387269715151132,-0.0461448264503642,0.0528106588955952,0.0046952695435716,0.0354887259047495,0.0002447163308954,0.0574503569207164,0.0248848316843143,0.0551330481707805,0.0804580261843108,-0.0559050523142302,-0.0134650417723979,0.025543296563748,0.0325555475038246,0.135676212435432,-0.014170436039703,0.0272206293560343,0.185430411627979,0.0259333316297431,0.0146077147528633,0.0182013745303571,-0.193208119642885,0.120030145693501,0.0932757592822042,-0.239036997655763,-0.0446391185148945,0.0148437234824935,0.117986098493646,0.110530938361396,-0.0323471150272237,-0.0220645902170922,-0.0119244379611812,0.0137781487821026,-0.0453242692460252,0.0266910369753257,0.0242737282992809,0.0607404291262797,-0.0032340162040348
healthy,0.1944075884247,-0.147287546871776,0.0756024629815461,0.235556801421796,-0.0384737408142457,0.0647841111598802,0.205451005890782,0.107257246512136,-0.0938119728777561,-0.128949667485004,-0.102653457663993,-0.136269907340314,0.109511659830175,0.187511412933304,-0.166188668350185,0.0099711478627932,-0.0901611006396509,-0.0702748690319595,0.143845845811674,0.0371444432395349,0.229071454538645,-0.169511247609276,-0.247388237633632,0.132159540527708,0.258395184524052,0.0479453978452353,0.115248810830695,0.104266254721462,-0.287372241747464,0.351055646658691,0.007619749400601,-0.108517186415224,-0.183324637085793,-0.0137579611372792,-0.0977241501437002,-0.142163864476761,-0.137322236613011,-0.258224333459621,-0.16140512753642,-0.189432447043077,-0.0637825285835872,-0.13916686168788,0.202101319341699,0.119266180565267,0.166266291144343,-0.0205554175427321,-0.1430245931816,0.0234829470638711
moderate,-0.606979306220671,0.606267711142851,0.604313648468837,0.605928856343889,-0.610537281609772,0.607860328697972,-0.60214497775548,-0.61231062172434,0.651640368723863,-0.635973981851853,0.649302270611025,-0.613937124759358,-0.602325700314926,-0.603997383989806,0.635849735092234,-0.610751889649115,0.61864720646493,0.604584732308006,-0.606448433702297,0.605149490306276,-0.629411493911956,0.619370096702715,0.602608079314061,0.625627615323547,0.674761561173037,-0.600563655360324,-0.610740594489149,-0.636075638291542,0.618093743626625,-0.611418304087073,0.66721639431615,-0.623910751008806,0.600947690799147,-0.60398608882984,-0.624001112288529,0.627389660278149,0.610808365448942,0.656937798747636,-0.612197670124686,0.653842924917116,0.617743593667697,0.600642721480082,-0.623967226808633,-0.602619374474027,0.604505666188249,-0.606685632061571,0.606482319182194,-0.603172837312331
moderate,0.161949747946513,0.200691001894536,-0.151620397563571,0.249413901645748,-0.300184263925393,0.180949235342253,-0.227728123140415,0.244004101979471,0.235020324796653,-0.207848280633179,0.224948653006584,-0.0482113146040221,-0.192086362946108,-0.188291827564847,0.227898058313329,-0.122690660807947,0.167249945712991,0.19213510929053,0.427458647955758,0.304245608167213,-0.22095963518611,0.164032996481763,0.237579411159851,0.323173542893106,0.312684122668858,-0.23116000119421,-0.243387112534363,-0.268517361899133,-0.0682381698960224,-0.268425653002743,0.176659615064512,-0.0913612691854444,-0.186150837824002,-0.270445260477221,-0.0176425013610089,0.207598610368317,0.241036107292968,0.266504311968607,-0.303352718281436,-0.420096847352207,0.269614928400118,0.194677231152118,-0.18871580469859,-0.243372836819211,0.221599508331794,-0.147117202528386,0.127086052915568,-0.183080340407701
moderate,-0.40239948125273,0.381657586002184,-0.205174939023849,0.400089421667953,-0.315564240449271,0.308137239596553,-0.373658392792173,0.387414008951347,0.215789091711361,0.45758807126421,0.417476019475181,0.339834707037318,-0.392460863648637,-0.360710093117553,0.407207171355269,-0.450802572326456,-0.390192762764694,0.262601326413115,-0.0364158010507897,0.555796295629883,0.352223401964895,0.490629304949817,0.425151819883583,0.421601802987878,-0.147501616910048,-0.384274099505641,-0.455314686692013,-0.374667888053707,0.406222540509044,-0.389681177419717,0.0413372458533666,0.262874990384106,-0.443246587319323,-0.453783038708995,-0.431812841342197,0.53001857926634,0.0880265571019382,0.391104509793546,-0.461363577326245,-0.469683521493739,0.522160802418397,-0.595560867214972,-0.437642925121713,-0.440797131606221,-0.345622055103022,0.47121579108714,0.40097148680103,-0.323695992073397
severe,0.20026417767958,0.203297817316322,-0.266170691041112,-0.116783850135583,-0.288990500857754,0.324769007513567,-0.209655129324436,0.307300530023109,-0.250379893059934,-0.202374051637909,0.274566510685056,0.132554380081172,0.19583832382355,-0.246188977137567,0.204618379747823,0.0880309297317542,-0.241145947324574,0.142709236842044,-0.211116140678613,0.351484276677436,0.180517116244408,0.338087676083418,0.306374766087666,0.298647220687592,0.393579273804894,-0.179701827376192,-0.283990005372971,0.285572339475394,0.277935857502828,-0.29527873026569,0.219476277161308,-0.326891441944655,-0.20949869434552,-0.157969925779708,0.072968924635925,0.39918923768381,0.187376847162907,0.242682036050019,-0.202922430459983,-0.166225581966266,0.164927285827384,0.258822814476727,0.117025353770916,-0.305748740706714,-0.120783218848366,-0.099626815276505,-0.0725849738208862,-0.213011915669447
severe,-0.317193261055696,0.239198612026068,0.34148008016129,-0.178280381201235,-0.270599264163254,0.147040675512728,-0.302514944936212,-0.193023075900191,-0.241982985588207,-0.26350152577653,0.295433301194356,0.218372141567063,-0.257755737558706,-0.191928640049177,-0.365139208117038,-0.264386731244262,-0.272466242967926,0.234289745341372,0.281414865514453,0.250014213377267,0.378578236581697,-0.195388988695766,0.283925630113839,-0.275701266586365,-0.211902094330185,0.275170143305725,-0.258383428708552,-0.120404038256427,0.145415116381074,0.289108105761288,0.270760210611933,-0.129706742990047,0.190126039823977,0.202422348503019,-0.165243718858272,0.163859579399637,0.334961748989809,-0.186215041121088,-0.320138581066514,0.322826386759446,0.0744699218035674,0.231424898554894,-0.258640943026438,-0.100527151844625,0.266849211909044,-0.246071025384643,-0.391968981111753,0.279370845616236
