group,AR,ARNT,BHLHE40,CEBPD,E2F2,EHF,ELF1,ELK4,FOSL2,FOXA1,HES1,HIF1A,HINFP,IRF3,MEF2A,MEF2C,NANOG,NFAT5,NFIC,NRF1,PRDM1,RUNX1,SRF,STAT2,STAT4,TEAD4,THAP1,VDR,ZEB1,ZNF76
healthy,-0.0143288767296368,0.0130486062688522,0.138424228472666,0.13347642820936,-0.0537735163850658,-0.0227112473271424,0.121676743534567,-0.0530063319631534,-0.0989910929885118,0.223353772911547,-0.0057411566748694,-0.0589952597268617,0.0070851314840902,0.168660785637314,0.0282564016839114,0.0333701496178617,0.136583704870781,0.0132142663352145,-0.0385074811029261,-0.379062874923003,-0.0250143824164298,-0.426656925707615,0.0143780570618381,-0.0023582113092672,0.136946661474512,-0.414979904259044,-0.0368193877704371,-0.0030680186769447,0.107394171094313,0.119915598714481
healthy,-0.0583042081572716,0.0361874551897748,-0.0718453143009441,0.0494603024058857,0.0916730437916088,0.250780566610906,-0.0326858179783465,0.431098617492775,0.0838774664825523,-0.107400422445837,-0.103587552497426,0.0697366044386429,0.0916616856641188,0.0491916292407334,-0.0164298922019929,0.0176232171636105,-0.101210409995025,0.0793387787812671,-0.131661643333474,-0.0562700543800657,-0.116581510914895,0.0527849465847612,0.158190868480835,0.0566568053023547,-0.0774603983819621,-0.0440014593903711,0.0652268131499428,0.141120658500963,-0.0780381863273829,-0.147109545238931
healthy,-0.114810658152021,-0.0061922916294881,0.0936741211409387,-0.0828612980576238,-0.175735680903932,0.0931087148579548,-0.0065976185150368,0.0774782658241046,0.0003662159463581,-0.068975828229984,0.0328099461822176,0.0062351066449406,-0.182985464920079,-0.0036737764048372,-0.0694820548372636,-0.0819506342274543,0.0550741135043734,0.036666471273391,-0.214053058111819,-0.020468126612002,0.142219342570664,-0.078695675073674,0.0049321101367093,0.0406634689657123,-0.0142017021305835,0.0900458201850816,-0.0983550983288689,-0.0360646059302954,-0.0129836598518146,-0.140973943165138
healthy,-0.198040992188429,-0.0437075120531191,0.0093265643815656,-0.225162567648808,-0.0486182016491135,0.0231003940938241,0.0196182238491294,-0.0579887127938493,-0.0743219883336589,-0.0649564812883755,0.0041982949652848,0.0133463666655941,0.133214105255165,-0.0066244557502024,0.0328751865646638,-0.0621602798263633,0.111647513612931,0.0854502255298924,0.0190457863936566,-0.211500299145865,0.110723685929767,-0.180340612439157,0.140137217744079,0.171905079844869,0.014648115497432,0.0398770249646482,-0.0394321460757951,-0.0172344862695435,0.0037749691661992,-0.273738477433783
healthy,-0.372426368122033,0.167658859356926,-0.17778679681781,-0.298348693681972,-0.251812592204806,0.356752630793781,-0.190944045545837,0.379970988726409,-0.0555667201516311,-0.0968095628466231,-0.427598972916095,-0.0403675166219747,0.360445911217295,-0.035341098162857,-0.0210825126807477,0.32696022779852,-0.359221376484123,-0.434881480218196,-0.171868744063983,0.0836721085181139,0.0822589065680426,-0.108431297961885,0.342718519710982,0.368982378956926,-0.368130628900051,0.0199905117927071,-0.299454934720113,0.113891716016407,0.378448947122868,-0.0110331028525783
moderate,0.060847581294617,-0.0525393939917109,0.194603745043308,0.0837713960569211,0.0313111276585712,-0.129528596331974,-0.0133383143094275,0.0622718419751152,0.181016750297603,0.0542688533894587,-0.221755127222329,0.228152996628376,-0.0762431610314307,-0.155413969017219,0.126250536035589,0.0260436238719668,-0.100093875601678,0.188985827914676,-0.155990455483135,-0.240733965972777,-0.192862981989366,-0.0739485188239614,0.0055274878790763,0.0515785832151843,-0.227599117474849,-0.0755762453159593,0.121333445591012,0.0132591887160665,0.147286640213424,-0.31624238935157
moderate,-0.0549378743484045,-0.0584460766494116,-0.0614731584934262,0.1417929084687,-0.0839793199353649,0.166410910401908,0.0561922490300435,-0.0119399623498785,-0.147980260191713,-0.107183768879116,0.146539108284646,-0.16148667430986,-0.0334939611342631,-0.0593487783254057,-0.311000186167408,-0.177023101229564,0.162528785406059,0.0680602293714919,-0.249170819452943,-0.196958532031176,0.128118613855932,-0.294763785576066,-0.371262635963307,-0.294685427132318,0.0500716269933586,0.058763328533093,-0.134750397306278,-0.103562903299971,0.0828384031636209,0.0311458630547431
moderate,0.0154335843996328,-0.0407533199362349,0.0460869816861287,0.0391895688190666,-0.126936836713444,0.0429905763312082,-0.0510674828959206,0.0687520750743892,0.0101150804251327,0.034786938262946,0.17767928689989,0.0007339801136543,0.0262104501731424,0.0741980918810677,0.0179694645964357,-0.0888405029114367,-0.0254094320631589,-0.10498962806909,0.0833482314499483,-0.0120005826715355,-0.0805701393782967,-0.0367135383952101,0.0844609996827209,0.0421159570644159,0.0017451756247162,0.0139479661453189,-0.140896991585368,0.0870550107294875,0.0452293953834387,-0.0370357583216218
severe,-0.149731765608092,-0.0679391968555125,0.135822727717901,0.0334650177632784,0.0913166184627579,0.0326813897879079,0.0147227943669943,0.0206302761527608,-0.216477586868743,-0.0374583354246594,0.07749194037658,-0.0809529878459756,-0.0357171949799328,0.125330261890228,-0.17527155280391,-0.0665486947798459,-0.0537722016054324,0.0278754634021587,0.0324825416784491,0.0097650777216439,0.0747393430980266,-0.0312019368984863,-0.0962241209390531,0.0011445961163504,-0.0861870258901842,0.164051698870208,-0.0298398416955994,0.0133707419979186,-0.239575243819823,-0.128705514865067
severe,-0.14697355331872,0.036807878699719,-0.0797745877381557,-0.156518128084482,0.0067231210765584,0.41207734195625,0.424943170779016,-0.055123143790775,0.162725326200729,-0.174236857252678,-0.0720196207409745,-0.0954941154351448,0.0280855561519538,0.361323420735612,0.0188311880513674,0.0423379279305572,-0.0814674599516776,-0.0119629636422214,-0.0856109662266789,0.0074486377394963,-0.098315569124348,-0.187666976813285,0.0602823733938893,-0.103523166504992,-0.235422095827112,-0.0518018897337701,-0.039758313129,-0.297236115509426,0.0214269254454343,-0.0945912502545998
