group,AR,ARID3A,BARX2,CLOCK,CTCFL,E2F2,E2F6,E2F8,ELF1,ELK4,EPAS1,ESR2,ESRRA,ETS2,FOXD2,HINFP,IRF1,JUND,KMT2A,MNT,NANOG,NFAT5,NFE2L2,NFYC,PBX1,PBX3,RARG,SRF,STAT2,STAT6,TAL1,TCF12,TFAP4,YY1,ZFP42,ZFX
healthy,-0.0556553168158005,-0.056639595408441,0.0351520056179075,-0.0376889247257652,0.0374145232712418,-0.0634510218702524,0.0619592156397645,-0.0085121977412629,0.0872717431056144,-0.0460699620233565,-0.0521319618711631,0.0536410260547657,0.0548607318911456,0.0447221158851002,-0.0311380933559854,0.014271032879355,0.215416790919204,0.0863904369665582,-0.140032757367807,0.0732863293503073,0.248115147053032,-0.093469649334199,0.0373549833329961,-0.126536894215853,-0.0803107477168091,0.0381384944044025,-0.0380031632887282,0.0355800028551515,0.0626367341157915,-0.0458690506858465,0.069370212156035,-0.0640609466965803,-0.0487752899903582,-0.0366853747521466,0.0654776808310194,-0.0778225823265004
healthy,0.0091244168807408,-0.152772052268197,0.18508183299124,0.0364458319498222,0.0944787018915716,0.0448392470121192,-0.0411455683151431,0.130776555303791,-0.112401786482976,-0.0024509675898113,-0.102809820748313,-0.138066166571226,-0.111930570395851,-0.04917362942474,0.101058352842547,0.130999889137863,-0.0637756903390647,-0.0016135759294321,-0.0879676529169058,-0.157852666538793,-0.112662981660935,-0.15325155803912,-0.153763795035351,-0.0590222814440803,0.0763276476558167,0.0512755218365605,0.102918087625822,0.0223046133281528,0.0052495341125535,0.0417326996987527,0.114889533282287,0.108139192331251,0.0873748436676815,0.133157985739428,-0.0792252227951952,0.0999811949370221
healthy,-0.0366432049889909,0.0204391671651831,0.0673474737057926,0.0136720227670899,-0.0295223407357769,-0.0313070761014721,0.0188500231024295,0.0419608376587742,0.0215080399013257,0.157809037072596,-0.0308692724234236,0.0327422132842371,0.0048407928225428,0.131865385247922,0.0487126241248041,-0.0212595424036873,0.0048523454763387,0.0529585536155089,-0.0730968985690808,0.0568538673320166,0.0188453028471406,0.0244856487675562,-0.0084663165854892,0.0358093701819635,-0.0242790520867942,-0.0085896845620353,-0.0429679024144306,0.0148210457800861,0.115227750930128,-0.0197729698304097,-0.0089801659705748,-0.111011271727856,-0.0155817935908191,0.0314463407348698,0.0232494378507087,-0.0138684349839948
healthy,-0.157425170919248,-0.0694051025606375,0.0647307201517415,-0.0571272766551444,0.0151872170245462,0.0263733860020361,0.0676674701696234,0.0658486827004665,-0.0190893885893098,0.0329862346049947,-0.0686418709123671,-0.0231906428822689,-0.0465697830477583,0.0366907848649361,0.0099123870988134,0.0375578170706495,0.0036338226350577,0.0989323060324278,-0.0919653189979499,-0.0519577218762044,-0.0017004516738377,0.0480154730794702,0.0072982561650995,0.0731882273673597,-0.130155550575983,-0.0168289616098961,-0.0087363230965121,0.0982022526445272,0.12514862193676,-0.0512720904924657,0.0358502821015423,0.0264526978434917,-0.0323443537606247,0.254818993118739,0.0991432644712796,0.0258322643745751
healthy,-0.256247784700666,0.0385483893045146,0.0436330711087297,-0.0835703856750658,-0.134209024841883,-0.126502510369477,0.0460307335075333,0.211668430117553,-0.0053908443122112,0.448243485550852,-0.0956588910216535,-0.0093697939056857,-0.0321769527088578,0.0849409353713552,0.159287775708183,0.286356439577726,-0.011212525855523,0.158179368573346,-0.0566760010030367,-0.0161386893317613,-0.131071513328315,-0.483195381257161,-0.0286548917811623,-0.0350019633073319,-0.115816014152574,-0.0371669073097441,-0.130312474540684,0.260919190731978,0.218210829253288,0.0297912111674405,-0.158730112184596,-0.138332187734471,-0.0027416808978171,0.0963476839764903,0.215253700664659,0.207078667421706
moderate,-0.366131009510489,0.0320016050482417,-0.0047271233811961,-0.103894690140679,0.122746503528998,0.0417052444110809,-0.002811334768673,0.0314007956017108,0.0874234424838967,0.0125829902952704,0.207109218643775,-0.0215611239113552,-0.459460522214058,0.035198364744878,0.0711789153729755,0.0578477472763647,0.0562607034553396,0.167648507636715,-0.0801910570709394,-0.174132715248332,-0.0110072825015383,0.100947323044489,-0.0446526115072704,0.167603163527543,-0.1865570011615,-0.0528598952674287,0.0982720206033325,0.119640432050706,-0.223841194928297,-0.0727886312485867,-0.0505926898088214,0.164361059721735,0.03270443874041,0.0428275111130915,0.05700888125668,-0.222979656854026
moderate,0.0491571959436491,-0.160895072668365,0.125842028467572,-0.220699241621821,0.012996460659314,-0.0519594255665582,-0.0339971771941801,0.0438903701705295,-0.0416451716773282,-0.0015965234373519,-0.0127458869740181,-0.0348978633347604,-0.0030174122031965,-0.0233514667649588,-0.16934156196199,-0.0680544920728313,-0.0308071993615131,0.191379478735131,-0.185173254158269,-0.0123570121538922,0.048256373832852,-0.0289941142173888,-0.0732874029890107,-0.0434194470367068,-0.105890768914812,0.241633138507275,0.0099372667509181,-0.448784735059397,-0.320514608732675,0.0409688752431462,-0.245854275615726,0.0092098455152091,0.0152085989655096,0.128208182180799,0.0807432327071486,0.0066885692088984
moderate,-0.0662535626072918,0.051666437603744,-0.104524893553376,0.0700125356610143,-0.0352103880631417,-0.0538152939891568,0.132236425327686,0.0739702305970257,-0.105431346989675,0.127965000175935,0.133413735124806,0.0213613505546783,0.0343396106813008,-0.104248717079171,0.0547225297950713,0.122292976938854,-0.0871076247034025,0.0153576026007059,-0.0846552089072491,0.0455112228922475,-0.0888437028797772,-0.142821573274996,-0.142998388808056,-0.102910082667374,-0.152162753533961,0.0788458015657199,-0.0204982403950673,0.060732067284197,-0.026094999675155,0.262243566673505,-0.208390718942813,0.0692253153540885,-0.18080780873326,0.038976402443402,-0.0379095632359642,-0.0176854651541018
severe,-0.101626672557226,0.0320709542425587,-0.0187911111974364,-0.157810249062271,-0.132694952643817,0.0660698634230934,0.0772921892893884,0.104247728155331,-0.0617963159698842,0.0568680779014004,-0.0758753172616727,0.0062780358387676,-0.0042050399851484,0.0044827962050263,-0.008124584413023,0.0080887541473009,-0.0487076632226553,0.100313851621167,-0.0433271038796954,-0.0457452168527501,-0.0486428821022297,0.0681207878330278,0.0721647349434896,0.0224558307754953,-0.19157468498392,0.0353980093964522,-0.101106417098941,-0.0589038102786686,0.0474765352924431,-0.0188808301828046,0.118458011540725,-0.0324862986828095,-0.183409110746911,0.0677791104191016,0.0350428598026145,-0.15082449381496
severe,-0.0413347583065583,-0.12100900257862,0.124214753516614,-0.304853961674182,0.213263390683112,-0.0825399913226926,-0.0364937505769614,0.0368823264482334,0.224030180449607,-0.0175021048685427,-0.436435466083661,-0.0218735834203526,-0.0240107507123486,-0.0395699762245313,-0.42774108096395,0.0295641475392775,-0.0004533385164839,0.061848326177459,-0.0183440192562987,-0.105741208969891,-0.0416747621939213,0.0844666800177496,-0.100657341320749,0.156013212315705,-0.0022505019211169,0.0433909722920393,0.120928049272105,0.0256945794878606,-0.10692312724501,0.448983228593485,0.0977106409636034,0.0152677936087287,0.0140373033497008,-0.0510167737657522,0.0112687002668878,-0.0068486497311688
