group,ARNTL,ATF2,BACH2,CEBPA,CEBPB,CEBPD,E2F6,EGR2,ELF3,ELK1,ELK4,ETV6,FOXA1,FOXD2,FOXP3,GATA3,GMEB2,HEY1,HNF4A,HOXA1,HOXA4,HSF1,HSF2,IRF2,KMT2A,MAFB,MEIS1,MYB,NFAT5,NFATC1,NFYB,PBX1,PBX3,PPARG,RFX3,RFX5,RUNX1,SMAD3,TCF7L2,TFAP2A,THAP1,TP63,XBP1,YY1,ZFP42,ZFX
healthy,-0.799559934504838,-0.749078228608647,0.58576652284426,0.765548665504123,0.815158825448309,0.810372075541129,0.826948402539906,-0.82592369668272,-0.820308216631926,0.811366034475511,-0.796905785416251,0.832705404641924,0.778747572342373,-0.800981189459869,-0.738822118372596,-0.821006631546646,0.757500011912744,0.49094128879034,0.76136363574976,-0.728703938257534,0.736300295993834,-0.793332964250989,0.749264434271983,0.636481273174039,-0.786897518366353,0.80738847461147,-0.80020576356093,-0.786655853300203,-0.814340871095399,0.812486141999715,0.824079024991691,-0.832728967704259,0.809888601731618,0.842922722031446,0.825817950256628,0.769545621791428,0.165400054002497,0.805581590026505,-0.831874950371798,-0.0911371837667479,-0.823321989775551,0.802946406329554,-0.460891775160636,-0.808648667414804,0.811527815013255,-0.816234680392029
healthy,-0.745385196434611,0.498452611024638,-0.763712478682889,0.688343165807603,0.766661007441332,-0.743311832026604,0.738394653027619,0.803399971105568,-0.699306874530322,0.76646527729639,0.108937882232951,0.749022231794728,0.773013516501917,-0.618778168924537,0.777021697152131,-0.745479610412705,-0.576885613023044,-0.766011119913083,0.637317335094129,-0.7620463832317,0.725204477404227,0.731298526042846,0.711871572481462,-0.523079029831615,0.351309580954776,0.715239011003527,-0.770171573465967,-0.741852198296525,0.560977282464322,-0.731663127527068,0.782872012250367,-0.684158620961278,-0.503559294925247,0.711333434043832,0.795889878713542,0.738860696776368,-0.771200397793543,0.737250290042329,-0.758499394887947,-0.279911760941787,-0.693818127935288,0.804814335768827,0.760946227438038,-0.55931453855671,0.734506895661006,-0.761906474538308
healthy,-0.850592139656616,-0.583331363946825,-0.808564498877925,0.768844262726094,0.842725669416162,-0.859773902560427,0.822043032620712,0.850906866235422,-0.810966899559816,0.855482171841954,0.684708305185787,0.792913102779082,-0.866188843637022,-0.759397144288747,0.818756065249304,-0.860787375440051,-0.853352167537612,-0.856915362459251,0.856029637904213,-0.731600130504802,0.812218799085894,0.779227558005816,0.824987186660711,0.461130773216636,-0.608138556112425,0.815736130613694,-0.863084299681202,-0.851694870345967,0.859427862530249,0.820665172650632,0.81715382626593,-0.85216593431127,-0.827352774030006,0.827991004829914,0.871743473604023,0.854454710925189,0.748057443574899,0.825296260131385,-0.829108319516601,0.723155876855614,-0.84865916830635,0.815796893012399,0.854221418050126,-0.666505731199312,0.855258507980893,-0.850188078644628
healthy,-0.670855341754284,-0.642528422454034,-0.729202136252625,0.738668829680568,0.760431295594569,-0.763875767604781,0.727159560684009,-0.636932962528139,-0.709572259975817,0.744236672546436,-0.767345905540859,0.780176367355995,0.711312815690253,-0.30278384760497,0.768651017871188,-0.769102725071584,-0.770381752440522,-0.752150839356639,-0.68130916502387,-0.727933558582076,0.756117639147961,-0.656404901696845,0.808917058046827,0.69221151344284,-0.739184374324129,0.742343941462358,0.285620165622182,-0.774799801112136,0.701564949425466,0.804595243502354,0.769560416623063,-0.633120760655584,-0.751377600960459,0.716023861857413,0.807878098748765,0.778457496729944,-0.775924021044544,0.716231808236375,-0.75322151440595,-0.262331022344349,-0.774766356839348,0.801562120333599,0.758738444455609,0.464959670269063,0.727736101186083,-0.759638244675004
healthy,0.770529420223902,0.711582021225533,0.324012199227003,0.642668234855088,0.810502151951756,-0.696128585362227,-0.662296806285037,-0.771644196451146,-0.739609830000687,0.836043899320481,0.108731294628395,0.76972590029534,0.770766735808242,0.530987925543919,0.726718708712079,-0.759789285767585,0.766271845674734,-0.764608786621208,0.0745877389503898,-0.790368540583976,0.737268239153397,-0.598581185098893,0.753808239306028,0.606528279889865,-0.76006776303184,0.711187227528709,-0.762246730556658,-0.773247652004682,-0.107563563206205,-0.65618793893262,-0.61406982807325,0.551955985911545,-0.713556105332347,0.767520917663835,0.719836730200251,0.753969879835581,0.689317830431375,0.686118723856309,-0.769450024541753,0.729084638136959,-0.656530413359327,0.82473698240646,0.770040047161431,0.712971979470185,0.79095486327737,-0.507718221970605
moderate,-0.137575776118706,-0.850296924053757,-0.851065125135715,0.877353418043271,0.855493578431702,-0.81569398414149,0.837904033069834,0.873828730726057,-0.868790235394398,0.828629134712677,-0.789371800009729,0.828742105460024,0.11041760845658,0.87490195282585,0.877172664847517,-0.853324540082647,-0.88105885855624,-0.815219507002634,0.817829131266341,-0.870801114697168,0.851065125135715,0.876630405260253,0.843010310849901,0.853245460559504,-0.856781444951453,0.869761783821579,0.709343322589388,-0.877771409808454,-0.784141254407581,0.886560533952021,0.768506102974809,-0.578941188927191,-0.692352522188457,0.866982703436852,0.879861368634366,0.886831663745652,-0.529256654244151,0.865096091956164,-0.855776005300068,0.815592310468878,-0.862373496945111,0.889712417802991,-0.857752993378634,0.773510707082264,0.840061774344154,-0.837644200350937
moderate,-0.777406336959824,-0.603177035914028,-0.808512678533775,0.741209295776249,0.813046361865144,0.819561054908109,0.811325410470836,0.828846220411576,-0.775915858379296,0.821247331860113,-0.753450631632406,0.836823161001965,-0.817777836574439,0.772640613498923,0.818585042885619,-0.81036528445121,0.746779477908371,-0.83068203089602,-0.832047840150783,-0.81506125268638,0.698317687880252,0.831987837111951,0.853267805508735,0.814227382657847,-0.737565905840466,0.816607612845802,0.455345530981846,-0.82402730496301,0.825868533329063,-0.811222819012633,0.836150240756408,-0.822291318947233,-0.267504827918151,0.822447566782954,-0.74818112258007,0.835611316332816,-0.712566639116625,0.789800515126118,-0.816955866535871,0.698485971152979,-0.839403736712031,-0.712481559025769,0.817983348433658,0.790119976645345,0.794091922401629,-0.821363081030798
moderate,-0.473948459149721,-0.53148248410304,-0.5060447563831,0.628115422873184,0.75767851460284,-0.741560670814109,-0.676953324030347,0.710944055694828,-0.697170518183484,0.722427520184175,-0.659972254643653,0.481464504603675,-0.731729999746894,-0.235073967788236,0.616207416109555,-0.570579688562245,0.68960707690462,-0.675222987930738,0.500008237647096,-0.634354267392904,0.440693372846313,0.662867595659181,0.625398010446255,0.726565874981542,0.743828366790902,0.583363041823323,0.522956674484268,-0.700667553081158,0.628189702231568,-0.344029976431309,0.768366195422129,0.706328945517704,-0.65960816147065,0.524857790949703,0.703370513666393,0.711764081163857,0.571227224307828,0.603961888914102,0.36940383633473,0.677225578080326,-0.636460972961148,0.762988711746605,0.656223011798996,0.61373537419913,0.710370022326893,-0.580025443372726
severe,-0.82770564723131,0.87578513441535,-0.690508096845087,-0.80060127995725,0.8273270483584,0.811714555922785,0.855263990529449,-0.854719504820067,-0.651042733338056,-0.0453216542176415,0.852414791319212,0.852291161370516,-0.811184631708515,-0.769916212483211,0.472158192121937,-0.851556234146631,-0.835182546692027,-0.743127058750397,-0.856150528614206,-0.86685950895075,0.822369573071562,0.870934728945512,0.746093606480066,0.77515235481376,-0.844508470512449,0.133148598186567,0.622691216835584,-0.808433080171381,0.852644634526371,-0.0317457724611153,-0.850777336917898,-0.583388599450392,0.854941639000402,0.665984540439985,-0.759878202999864,0.840597709756599,-0.859372901826626,0.811138092028059,-0.79462792624672,-0.858108050388471,-0.863373315709243,-0.838488862640975,-0.777077612883168,0.877837163148086,0.811158934952435,-0.762278851056751
severe,-0.691463921693642,0.796175129914945,-0.53489573416274,0.718244898911533,0.753582921102347,-0.776262307214795,0.749658261377924,-0.794405816104754,-0.74972260006193,0.74804979427775,-0.664441674410725,0.211545593014836,-0.791977030783492,-0.0793617667225669,0.786427819287893,-0.764472243370523,-0.393672322767496,0.240192392068928,-0.640169905869104,-0.776310561227801,0.779028870627094,-0.755690013003575,-0.30496536219292,0.669186652356237,-0.757491496155769,0.648887797552046,-0.505492955571567,-0.799134709379264,-0.750349902230998,0.735439412212389,0.780444321675247,-0.75110588176808,0.711328490380786,0.733847029783217,0.754419323994437,0.701677687779744,-0.547618708925114,0.739541003317831,-0.759019539900934,0.711441083077798,-0.733380574324166,-0.681684441724586,0.228820529670701,-0.72118839370485,0.768702511843979,-0.784127711334644
