group,AR,BACH2,BCL6,CREB3,E2F2,ELF1,ELK4,ESR1,ESR2,ETV1,ETV6,FOXD2,FOXK1,HEY1,HOXA4,IRF4,JUND,MAF,MEF2A,MEIS1,NFAT5,NFIC,NFYB,NRF1,PAX5,PRDM1,TAL1,TCF12,TCF3,ZKSCAN1,ZNF143
healthy,-0.104795859136965,-0.173982032971582,-0.0614194139082063,0.0632861955058393,-0.0966742813687867,0.0632433701851238,-0.0262546520720844,-0.0904365865847018,0.0390006459318895,-0.0285256874521764,0.121205717264026,-0.0488789241041837,-0.0559899392707795,-0.0158146149109413,0.109028380431306,-0.0815090880159442,0.133367102383325,0.0662470347095371,0.0843023623741577,-0.0471960901928455,-0.128671981399779,-0.0655739011450018,0.0647126523294041,-0.402948616141038,-0.021851404331401,-0.0117355749673526,-0.0651603062690982,-0.0463280870481416,0.0876375638612915,0.0179303007215921,0.0390364295052391
healthy,0.0020123883977391,0.0811242195585806,0.0345189573126102,0.0340761383015001,0.0676681314501977,-0.0803969020582803,0.0609150717567716,-0.0815520338377497,-0.0902528180464889,0.0737190321531238,-0.0294340676313848,0.109777516162768,0.120234930521706,0.0876139588322126,-0.054738438311128,0.100796220550385,-0.0014180003295683,0.0326854760884975,0.0711659417941012,0.0561216380290155,-0.0698887919066153,-0.0378417944072934,-0.0686106784734556,-0.116005862107953,0.0315917122007356,-0.104763682991129,0.0375298049632581,0.0597251593010492,0.0085002736765918,-0.0594437640934429,0.0866749403796636
healthy,-0.11381595491023,0.00529908550479,-0.0275042152257139,-0.0966884763538336,-0.191986062662564,-0.0272717820675798,0.0093754179322476,-0.115860430523358,-0.0267447681672306,0.033904802498573,0.0992589000903853,0.0172920345136976,0.048714122453582,-0.025893135667797,0.0977774531114739,0.0020400590335485,0.140672143660363,-0.0095912931800667,0.120348783784008,-0.0789311321606669,0.0425808235074292,-0.127527285897916,0.0499674420131384,-0.0005640176752035,-0.0231350840350604,0.131984876573388,-0.0683548991033219,0.105826388029782,0.131929251544091,0.0318016750496796,-0.0654978154786655
healthy,-0.151857895692469,-0.0741837915912564,-0.169325772732287,-0.0196205199697812,-0.0577231959410605,0.0463972104536292,-0.0645710384071789,-0.0695587390910134,0.0257708586854249,-0.0396893721410947,0.0710427778477623,-0.0513564332594615,0.159264357894132,-0.0514508543588994,0.0984865174888119,-0.133702055847884,0.133197571754558,0.0756245534616753,-0.118943425223998,-0.0551950561782448,0.075925053717151,0.0222013984960234,0.126257482575799,-0.111179994600622,-0.14490174240761,0.130742333250931,0.102043115850851,-0.063003845828036,0.130108730116113,0.0474006570156254,-0.0299387496559258
healthy,-0.374241746258399,-0.393191036247708,0.415734958183427,-0.353875945073059,-0.417329122062403,0.233144228469341,0.492445677436597,-0.359887642082198,0.370790864698974,-0.445468609223575,0.357943232013572,0.548765183320321,0.375060925749284,-0.39450537534425,0.354119308895687,0.384194774165084,0.445701912845172,-0.0292240117231806,-0.356658492005612,-0.394478916434024,-0.485979526837534,-0.634184954639399,-0.363026250349505,-0.258103529075708,0.115523381890781,0.507017326191162,-0.414549366399501,0.475067058140041,0.42152672640471,-0.443931898978233,-0.364290521046696
moderate,-0.276087337201352,0.122868695454183,0.08849619484984,-0.174642133248101,0.0855244763557762,0.133896821880823,0.0659766702921624,0.125377142243849,-0.0966542965711864,0.135851602487184,-0.161399342088242,-0.0681348384760643,0.128800833132447,0.0480898627784626,-0.007491442439408,-0.161399342088242,0.144913648997599,0.143625527673176,-0.12874433658313,-0.062767666290968,0.104620310024856,0.0970045751769505,0.0539655039074101,-0.0668919143910946,0.133896821880823,0.182156174307236,0.0495474737508361,-0.0259658140660026,0.155388109240935,-0.125569230511526,0.040643617578508
moderate,0.0011164226956513,0.0098614338696219,0.0062257308817088,-0.0037199963556051,-0.032063757348623,-0.0189165656842337,0.0695480271852373,-0.317483693400559,-0.0195315047656198,0.0103596084467257,0.059669099926177,-0.132031221328559,0.130106271202028,-0.0054587502507459,0.136540084403019,-0.230663788755808,0.254756675466393,-0.0111281952185331,-0.290753852391988,-0.19035294324609,0.0016303877658765,-0.289249633762326,0.107648358466719,-0.168442085952621,-0.360642633000478,0.0589032416586957,-0.243203859180994,-0.0263012336162357,0.233312295657218,-0.0161759475729495,-0.0382997249593285
moderate,0.129107455724361,0.0822368881968664,-0.0624065353709546,-0.0314939741022107,-0.0718030828121499,0.0086422063534017,0.021107529248409,0.0399328729133632,0.0761663275138917,0.0459384686575502,0.203966227527833,-0.0864437185136134,-0.0463916653168627,0.0857802037071465,-0.0129894045594718,0.0524182928757652,0.0570834609620885,0.353113419477939,0.103015697970834,-0.0491977767735619,-0.0372306742004803,0.0325852915991115,0.0291697248893251,0.0441328484164252,0.0104772711351283,-0.0163111849547493,-0.127011908022603,0.0283518209837249,0.0594197060989229,-0.0473921565324369,0.0040067943901202
severe,0.0306822108144062,0.165802117241284,0.146692632536758,0.112709928924583,0.133773536237016,0.142753242509675,-0.0859145334099821,0.100698032402602,-0.0233366070705711,0.0723025364925805,-0.0437798897475654,0.127996602345121,0.142761243011652,0.171857640041311,0.0083013779978855,0.0043705599372063,0.155596048308421,0.160584075558931,-0.148566178660468,-0.141650887630115,-0.073119730623099,-0.0563729655917401,0.0851236266431027,-0.0446902325796744,0.0526670187830603,0.134187276482118,-0.0442850643009768,0.0933984315451357,0.156335237544662,0.0846584545995768,0.0383869799505705
severe,0.0737488317478493,-0.145251588208023,0.120674030563746,0.0582525281443902,-0.0736195612276953,0.483100092630467,0.116569691548857,0.151844384735876,-0.0735549259676184,-0.166904400333816,0.189688329510956,-0.122564611920999,0.096371172774797,-0.360535480709469,-0.08426822032538,-0.0416574251196222,-0.0464242755503004,-0.0802446753855872,0.0414312017093527,-0.134586770295319,0.0469413576309164,0.0642312897015121,-0.0967751431502782,-0.168132470275279,-0.176825912755634,0.122176800360537,-0.003975068494735,-0.152716960746916,0.0867889954683827,-0.107569231583136,-0.26678203596779
