group,ARNTL,ATF2,ATF3,BACH2,BARX2,BCL11A,BCL6,CTCF,CUX1,E2F4,E2F7,E2F8,ELF3,ELK3,EOMES,ESRRA,ETV4,FOSL1,FOXH1,GFI1B,GMEB1,GTF2B,GTF2I,HSF1,IKZF1,IRF3,KLF1,KLF5,MAF,MAFF,MBD2,MEF2C,MNT,MXI1,NFE2,NFE2L2,NR2C2,NR3C1,PAX6,POU2F2,PPARG,RARA,RBPJ,RFX3,RUNX3,SP4,SPIB,SREBF1,STAT3,STAT5A,STAT5B,STAT6,TCF4,TEAD4,TFAP2A,TFDP1,ZNF250,ZNF263
healthy,0.227339852329036,0.324346303925409,-0.28545846532491,-0.447404885742937,-0.327838861112042,-0.284065583140483,0.292365079112638,0.284025613977883,-0.292073936831108,-0.321550331604956,-0.338248096264036,-0.146482380162804,0.282084521660382,-0.237555999044439,0.233446939090793,-0.285636169947118,-0.291861870230981,-0.277099159382822,0.135979691932788,-0.352656548059508,0.343743712347597,0.374575464300697,-0.363445202708272,0.323504219805447,-0.279133417230412,0.413534758562391,-0.416044189368232,-0.35162540117401,-0.261089065604018,0.267073656946583,-0.163312416870776,0.219419632079684,-0.273574828149661,0.294825914317908,-0.251791490758588,-0.32676788883791,0.151126998140499,-0.285106794203615,-0.285396786293416,0.289559905258349,-0.245014561088362,0.389358159730156,-0.275765224524532,-0.27236842079938,0.336915167823509,0.32575298841059,0.286385807406822,-0.285802660199964,-0.28284566103738,0.27399536700076,-0.325869445323202,0.270885967434018,-0.190544500032434,-0.190077522190256,-0.315213781593163,0.295222730464586,-0.329588015184683,-0.303532290614374
healthy,0.211234101165818,-0.013747235411996,-0.244467559520164,0.239956274446643,0.186125143580047,-0.0606308285296999,0.238673760869431,0.243753229012346,0.232359426506229,-0.25405476084272,-0.220827826511091,0.220178456343876,0.261486882207492,-0.217362530869419,-0.285159768447431,-0.222863961339678,-0.281014894880649,-0.281564398853336,0.162727772350557,-0.228499764020433,-0.26495922166123,-0.062028242208745,-0.181943571552483,-0.0990305731760547,-0.326325578774605,0.23250030941151,-0.292248235749367,0.185869240621544,0.157129894300329,-0.140639537242464,0.106809227436977,0.265507299545191,-0.240904396873763,0.23678398672618,-0.261916901269734,-0.254336393373961,-0.169469313582348,-0.285741985829229,-0.249979539048607,0.263831831884648,-0.27129681992975,-0.243067333647465,0.301766385056194,-0.209129367471191,0.223597717308396,-0.226146890887698,0.264678595388855,-0.288914166926236,0.252548717853851,0.268037567452941,-0.22660170656744,0.206807788322808,0.265906324501551,-0.291589176175582,-0.141803438888779,0.172571149854221,0.126599587123762,0.187023406213528
healthy,0.179121999480784,0.387249054746156,-0.215276796940873,0.267946347126856,0.424049815023539,0.270888682857176,0.221923466417529,0.222764256819332,0.154314960051948,-0.26317493472626,-0.274916543819356,0.291555501795449,0.266160048095621,-0.380055597325494,-0.240694543453391,-0.288419958845735,-0.303844359357373,-0.40209246908162,-0.302323041191898,-0.31959133192226,-0.200472228726987,0.356167646046475,-0.207270572906664,-0.113838307700119,-0.253385183337986,0.216677773147714,-0.335172839624173,0.0594800897452106,-0.275176808569807,0.1189595825138,0.339547629285755,0.341113882734346,-0.362849792990916,0.204737106464334,-0.299817291521275,-0.289277703383586,0.222990383035277,-0.314759914842977,-0.219285972534804,0.265030201613741,-0.251128398503196,-0.284420198425948,0.318659459944508,-0.122110007237861,0.375814692463615,-0.211657805266683,-0.0535571520831404,-0.295038638647086,0.275759005755699,0.3233385712312,-0.199436329308839,-0.228082098977962,0.322608963461012,-0.262446043328018,-0.330886496313168,-0.265520967565948,-0.0420351962737663,-0.270322066761102
healthy,0.623400478476134,0.633808135927221,-0.595045076180456,0.580489978394143,0.606711713467277,-0.350288362817215,0.568737487284935,-0.415812117940891,0.473136905062513,-0.605018251732218,-0.575776125487904,0.604609702795261,0.605465084532308,-0.604638412418248,-0.613452004725901,-0.600361294173721,-0.601776500461544,-0.618852832283258,-0.5293212050305,0.361544879472389,-0.58171794345468,0.601074895952362,-0.529807382587638,0.586539955150436,-0.625269223461386,0.600983907927323,-0.602577305100514,-0.55420521836398,-0.494926631379517,-0.543864659178658,0.617413513579415,0.623506685744745,-0.158576253526425,0.601227533701578,-0.613808399594094,-0.617091643604558,0.608619095946968,-0.609821612650998,-0.591357474418872,0.602869299778824,-0.600032757593892,-0.552156501239378,0.600131983918592,-0.476008849670316,0.602330470449602,-0.606073867372647,0.612766837523676,-0.630333669062924,0.596578369129248,0.61047538525181,-0.497299065220235,-0.537751814634805,0.624412060470358,-0.60026320732767,0.0350477306713747,-0.604245017237584,-0.623696101149684,-0.537959160456654
healthy,-0.245210740310524,-0.394218155783362,-0.612320930120449,-0.710994601487185,0.430186926163186,-0.699763462240768,0.650100952655607,0.60913246497809,-0.603215415032195,-0.613397125266588,-0.621691505089721,0.596737605905083,0.4474546090903,0.232826980800692,0.638928086115856,-0.532367712631753,-0.494682383244929,-0.532729489018976,-0.61799222880043,-0.634499765080757,-0.643621062360399,0.569181610688921,-0.6656501688383,0.61331295357918,-0.414521742669408,0.576868520669143,-0.301943729448142,-0.648623207687536,0.670672721174815,-0.608330868400073,0.522677736170087,-0.273705747009214,-0.662942858197516,0.307291117438189,-0.51205169654736,-0.617060501406235,0.457181815336782,-0.36386073488033,-0.615203636983482,0.368578685142017,-0.468026146368609,-0.609750629712601,0.602277039462141,-0.626133064666314,0.560147606848829,0.567985401515956,0.48893795463049,-0.57151702815313,0.628248745465801,0.625698620826433,0.600335020578157,-0.643695868791378,0.343543042299416,-0.367940749310601,-0.585609889150954,0.48925290473557,-0.501972194790534,-0.632732333075874
moderate,-0.370185553818007,0.0750530573950058,-0.0755725755587922,0.0985237335500661,-0.263210991470349,0.151479951712024,0.373210304016052,0.0108983365914299,-0.348411970331315,-0.139057695173488,0.0071116264198313,0.0952911760865064,-0.0372667696156097,-0.129521650655987,-0.272227517824064,-0.251238984007094,-0.1185194104318,-0.0338379497346196,0.0702157660477504,0.386544603553236,-0.224351032819128,0.138688260034795,-0.205498295897724,-0.0220737495368791,-0.139865834539378,-0.300870285920819,-0.187857768025155,0.246563320533016,-0.0904654295873351,-0.0973692487416519,0.182928117893227,-0.0902807120179888,0.0462602062731562,0.0820954147263323,-0.251296708247514,-0.158487674499099,-0.175978119346573,-0.222042063202299,-0.148951629981597,0.217689655474578,-0.0595367815699193,-0.210681932687504,0.194438331433116,-0.0773273924675817,0.411135129972458,0.114513348146602,-0.043881967567823,-0.1290021324922,0.109341256204907,0.0629771462989935,-0.134197314130064,-0.263153267229928,0.214191566505083,-0.169801625621558,-0.193295391472786,0.122779459374848,-0.111915757327671,-0.0883065429956006
moderate,0.49892879237338,0.579566822488037,-0.563901876225933,0.450054518244826,0.562815443970392,0.438348113288702,0.431832834353675,0.493977945647893,0.521954240116905,-0.4709653104741,-0.526696829279303,0.545438788789483,0.516222563215144,-0.64008022104391,0.104431495464725,-0.492634990627096,-0.499499542926724,-0.495497504787947,-0.48342556361396,-0.464641638576595,0.069934358963087,0.598117485098541,-0.504888129837172,-0.301205429487852,-0.50743315976256,0.459789047397207,-0.477729261810174,0.533083924366163,0.465487384480603,0.586149769624175,0.541933610862419,0.434727680384895,-0.452971112692444,0.432683852601053,-0.523716889176792,-0.572807426301565,0.394064363860295,-0.447346452730911,-0.437790621128242,0.464086685669743,-0.429962761297638,-0.601034195847851,0.495341486068169,0.528846762973452,0.531360430209239,-0.54803041692612,0.410316614283235,-0.473236197927898,0.474394717848845,0.487909963020185,-0.461630238866406,-0.478430464094679,0.587390107785424,-0.43166780225277,-0.605427938085184,0.240987088324508,0.263763107705987,-0.395989699603634
moderate,0.361590185269754,0.351928455625592,-0.295672009741899,0.390400076866465,-0.281860072898859,-0.22644776068087,-0.154720352769246,0.297241597510578,-0.192581777516558,-0.219935005804015,0.0655594926030138,0.272829227011486,0.226493801507302,-0.240444171916304,0.261978368590043,-0.30904158134719,-0.260865144959042,0.148393783261444,0.0400133667530261,-0.20885269890375,-0.21401518211081,0.235595886240979,0.266492702730402,-0.150834413692356,-0.309357023225585,0.252895415686269,-0.242861937477333,-0.295133363181307,0.0276293177027191,-0.294758814836547,-0.0813164988194881,0.179762207135134,0.0914322594513392,0.225251943540289,-0.302968080841434,-0.26294444822846,0.266113488085665,-0.282950742746642,-0.306380234927402,0.305963845426187,-0.18127595484743,-0.260431956777913,0.282375543502902,-0.221594186532238,0.0906198566254738,0.195961889676022,0.277025786123462,-0.239648878857018,0.333376802353341,0.277742063169817,-0.225439528799334,0.182648158127113,0.296907490432278,-0.313114327966463,-0.253368267417196,-0.242517408995753,0.189110516964224,-0.246934528553273
severe,0.207432897625098,-0.0779541423438666,-0.244424619102842,0.271669818172441,0.216808661095472,0.206963937671377,0.229325425574564,0.273399644814923,0.072670183304865,-0.372326432122109,0.128557154493057,0.238940536127545,0.261323782856424,-0.226516819258319,0.0803524802756892,-0.233668601702742,-0.261605502389063,-0.264107767343597,0.259072030697682,-0.22251548573377,-0.194850284068256,0.276250050980522,0.117572669423195,-0.149057690198937,-0.26379942187952,0.273138252606286,-0.193073217869996,0.0755681153265801,0.242857983653047,-0.193634939133245,0.332023933535186,0.290983638977114,-0.29048862569263,-0.169262763955951,-0.194013428180143,-0.15838964971759,0.189554014114718,-0.211756032729613,-0.202159245398266,0.275355648724462,-0.15871803620533,-0.245831785264345,0.253210890177177,0.201261693838488,0.258878491669162,-0.19392295727332,0.120651256958218,-0.314897161012856,0.251422944566071,0.297188339903276,-0.17044318024972,0.199654117440352,0.196135772586088,-0.185958940769858,0.118689813342256,-0.318065933154364,0.137736802231869,-0.190223670605411
severe,0.191578151393934,-0.198808733687488,-0.232669808803281,0.119982474933657,-0.235042343618354,0.250197514988101,0.235316718392886,-0.0566180417093446,0.206604205222725,-0.242030830522614,-0.266627722074793,0.23307330111877,0.249438949434983,0.160089611093212,0.217030446654948,0.192110761250379,-0.248067075562322,-0.239948810174694,0.223082831387275,-0.264803936808785,0.183895657707033,0.179876874244768,0.0865733112112099,0.223922095403491,-0.0340708911198479,-0.012475982394904,0.222308126141537,-0.255668870786125,-0.134863271528872,-0.17945724223666,0.21168820839788,0.190835725533435,-0.198485939835097,-0.169143978652774,-0.262818754616581,0.117351705036672,-0.351861438798581,-0.235268299315027,-0.163398248080218,0.234735689458582,-0.286366566148489,-0.226004115751412,0.174566915372939,-0.265384965743088,-0.0985489631349082,-0.212672729647672,0.245161930890805,-0.286156750144435,0.264319746030198,0.264029231563047,0.19382156866805,0.0303426221247343,0.217563056511392,-0.0945463193652624,-0.198114726904847,0.175390039696536,0.167078097997473,0.153004286033234
