group,AHR,ARNT,ARNTL,BACH1,BATF,BCL11A,CEBPD,CTCF,E2F2,E2F3,EGR2,ESR1,ETS2,FOSL2,FOXK1,FOXM1,FOXO3,GATA1,GATA2,GATA6,GFI1B,HINFP,HSF1,IRF1,IRF2,JUNB,MAFK,MITF,MNT,MZF1,NFIC,NFYB,PAX5,RELA,RFX2,RFX3,RFX5,SP1,SPDEF,SPIB,SRF,STAT2,STAT5B,TAL1,TBX21,TCF3,VEZF1,ZEB1
healthy,0.614441590591665,0.586201317302825,-0.489968410572324,-0.60221068186302,-0.568356258707466,0.595567012152502,0.564953835214728,-0.607611703565256,-0.617903016479701,0.270586280009649,-0.603088810194987,-0.579045190202905,0.602976417827359,-0.672680120732653,-0.551003942066984,-0.465313036476802,0.462207207951645,0.602777824399284,-0.54990448279851,0.586231969766724,0.48476684574785,0.57014331174358,-0.546597182679654,0.604411902932467,0.497071147699914,-0.659545611906266,-0.616073222684067,-0.607881819409095,0.637183128455324,-0.541985066175032,-0.548757677705517,0.607464773210137,-0.626897715780409,0.64734650690777,-0.502819707901281,0.631545665447054,0.620999778783142,-0.626615799457511,-0.499951759764971,-0.563390991280746,0.570447677758347,0.57907425967571,0.471379921796215,-0.329742657168219,0.578217573677644,-0.317990387382891,0.563729607466442,0.607656890765558
healthy,-0.0429384422927834,-0.434633789629114,-0.470404308328436,-0.519431790636259,-0.418858505329829,0.634206753608395,-0.607825224478021,-0.484079963154911,-0.584087701320307,0.541354991842284,0.573593842692627,0.590274922764409,0.52414148246483,-0.627381216355052,-0.121773814455373,-0.195005706146829,-0.6036682668576,0.497853286626752,-0.359491525606036,0.592941710984156,0.552619850725561,-0.350561417509717,0.629089212274291,0.541026517257256,-0.180860454666326,-0.655147288104145,-0.554963691768957,-0.272434532608448,0.314563069679985,-0.464663808057874,0.631944884701628,0.55278939566231,-0.0632684245537197,0.32938462957997,-0.250767117233587,0.571826104142979,0.463810835665647,-0.580400773223267,-0.606463044556093,-0.317302659865581,-0.603911872411089,-0.210094146652503,0.536110273491915,-0.117417983334573,0.466498508166853,0.546594509100874,0.518475542275648,0.410680963914146
healthy,-0.507645532606843,0.772484500707351,-0.728221689007267,0.0822770518764931,0.778620730696917,-0.515153043810172,-0.743372525644104,-0.691997666085796,-0.0523707907905775,0.754834866401657,0.731596905819472,-0.669417043308241,0.733056876820562,-0.811412914149228,-0.54098724828111,-0.601668601256478,-0.695798170976435,0.650981529837243,-0.582496268515992,-0.704781921217214,0.418355413812435,-0.145246690037628,0.740659583320517,0.759153961845515,0.284044800377084,-0.785672395833178,-0.726053291064299,-0.740818205201254,0.455508010792566,-0.751458507075367,-0.309346567706203,0.59730060791507,-0.702460886803114,0.593257156783315,-0.147250855844133,0.735007242150424,0.656280092373846,-0.766372442564264,0.0795165843775014,0.814744937108078,0.760170944326094,0.623528382909273,0.703237284806765,0.547067060243109,0.628060403757756,-0.302838943903316,0.372362784631823,0.814076890365468
healthy,-0.756820870908375,-0.474715653756187,-0.539799076004544,-0.736225276625419,-0.645010972849331,0.755990749009212,-0.756070347942307,0.86277977514341,-0.783036873971513,-0.591872624575488,-0.578228701057741,-0.782183559766201,0.765612853790068,-0.814063916307258,0.774655098445919,0.753948606110823,-0.706535005759192,0.694049333295591,-0.723931557225096,0.377226020907613,-0.762128826328736,0.752922753216158,-0.511821795691747,0.75068570574494,0.783049519550205,-0.804249858463123,-0.780094481307065,-0.755625168477501,-0.258570772016243,0.810680961650722,0.776265914297655,0.76737486563766,-0.404535446757369,0.683295488575254,0.758137204813991,0.771410825384748,0.707762400843717,-0.719192246193452,-0.781143132973272,-0.545527588741159,0.759716734664502,0.769249415264918,0.760510074195768,0.815736661388253,0.621164835187139,0.775731796011757,0.600738801848346,-0.637108588063677
healthy,0.72585429019361,0.571749574476864,0.87630423117924,-0.71325048807259,0.201938693846333,0.515117337555161,-0.623119012388741,-0.531836809019933,-0.510297385030984,0.346795340377796,-0.66261417552478,-0.75910805121571,0.598475020395241,-0.680357631557664,0.567573957495885,-0.541036885275898,0.628672148309548,-0.770361435603664,0.781926977146158,0.624193891514304,0.507560511343439,-0.138317363273398,-0.380568550868254,0.67883833906726,0.420272921392677,-0.631451617898084,-0.593155175376322,-0.554386231729394,0.100672336267479,-0.653987228857632,-0.349738868020968,-0.49533020679569,0.761368651661516,0.434752393971388,0.729620951705533,0.612981245985338,0.627539933012077,-0.494188532190506,-0.752074330523793,-0.625965509587148,0.400427235777483,0.358275690118307,-0.641342629845063,-0.627794463831898,0.674497329282705,0.0818423945965,0.566503140649708,0.51283805062418
moderate,0.695413242815083,0.639291895965308,-0.148230111029774,0.750311606319464,-0.735839636732294,-0.597302801106759,-0.546039415878968,0.682877663524788,-0.601470003616993,-0.567045287228107,0.73675687424134,-0.708956650973342,0.519847189231767,-0.558858093165882,-0.562787493358956,0.0803658592802372,-0.776741635283825,0.65607394520489,-0.550501040305686,-0.491673276608231,-0.249330067582396,-0.554713538495378,0.664374378465762,0.565641121164876,0.613054373638647,0.742305594975075,-0.622623085924374,0.619622247160211,-0.537444560701612,0.51244134564021,-0.431792388363354,0.625793783486508,-0.548236256332733,0.779221573734209,-0.400153356261201,0.642723043684332,0.753776725798082,-0.533390597390026,-0.0704914011581621,-0.689241706488786,0.541498524013197,-0.313151679940211,0.611333137819203,-0.356001392708482,-0.79481461138799,-0.648260440498202,0.597982236298645,-0.622940155680587
moderate,0.468214291110341,-0.392980157257569,-0.305634235556143,-0.340868476147819,-0.050040706238221,-0.341398583720421,0.430826695380491,-0.360490965002621,-0.430613180371267,-0.520325543866069,0.571895376608893,-0.225307459150226,0.440172309250888,-0.494156715202628,0.480170216506975,-0.353746083104883,-0.44464309858822,0.418174402638889,-0.298470579190194,0.067327711613039,0.385451562735692,0.298299451758489,0.542754452506539,0.393063686291818,0.360566803135115,-0.533671886946795,-0.311924419659752,-0.409018413305683,0.366347440659167,0.387258301587689,0.149173217203212,0.445073847498404,0.0517716264283612,-0.339945821055521,-0.214214005105828,-0.337939391346821,0.428710529159663,-0.385397298069386,-0.444651587786106,0.206719464728683,-0.153439584318963,-0.614095257184627,0.384369637829838,0.140133253397999,0.369815453231489,-0.118955995209199,0.353960065409404,0.0298912640540681
moderate,0.583860963464705,0.61763348592534,-0.195780403625618,-0.617388051959646,-0.463879993856271,0.69284981985546,-0.665749430639656,-0.56927397366332,-0.539646454488963,-0.535628989765339,0.762173405586433,-0.6680779426171,0.656245785769057,0.252161002734793,0.641839682977876,0.56150080933918,-0.584111219010207,-0.650712478567832,0.708202663172103,0.762049133255261,0.542794946103377,-0.661346706135916,0.759944591436626,0.696483113542794,0.696820157524834,-0.745761058990761,-0.611031654424801,0.404957644514287,-0.76031165364134,-0.597539007704926,0.430176373326435,0.70001468744967,-0.398199344972247,-0.736449033033809,0.488472539432751,0.581650969029631,0.541692048606079,-0.717610965190376,-0.50903160019786,-0.564670764760479,0.4439527155808,0.459633115254701,0.508108345432105,0.71702335459317,0.498473584697704,-0.619282155149901,0.609781620975952,0.617589469567741
severe,0.654714150077119,-0.647055898616832,-0.649336386223985,-0.627251348038993,0.699536284604152,-0.683314622005043,0.705640464123472,-0.482243909566446,-0.575304906165363,0.674353398192338,-0.703644822974399,0.427439565428171,0.57787567404857,-0.120376513570867,-0.601333180257981,-0.675549410127767,0.462434211161051,0.616485238687194,-0.65448793165509,0.717358063601807,0.632226437381108,0.657180817447534,0.703130898190093,0.623113638645931,0.626550099529746,-0.429978874365205,-0.681103344079473,0.655994815176797,0.516390593704742,0.579485228130969,0.728194812587287,-0.72053741909826,-0.696670946588594,-0.730576540803034,0.711888210833511,-0.682867046998122,0.688669506624597,-0.691661252405688,0.636123628831153,-0.400769528833615,0.58567148690076,0.650480061912598,0.701709239813475,0.652928139905729,-0.608177216993216,-0.639315281915656,-0.762247119887063,-0.408468104943087
severe,-0.290251857093396,0.312394083995787,-0.222809181998131,-0.331052901567576,0.100293160310247,-0.312103799884904,-0.348163537214653,0.283059261901505,0.369838084160621,0.244338586888657,-0.387400272869072,-0.0353985346327372,0.197006149919598,0.334423422632835,-0.360468358137104,-0.434506933307444,-0.486048489884313,0.448763108530833,-0.24235497879762,0.243999922092626,0.305056346748454,-0.215132779954767,-0.348357059955242,0.201215269527409,0.271705927786951,0.186136622656516,-0.375240594002064,0.396963521633178,0.282881866055965,0.0913266066629571,-0.451649822744619,0.363193803400399,0.20787567718268,0.241048700298644,-0.339680790418836,0.316329046387763,0.333923488886313,0.413541969743636,0.3675641919587,-0.300589196819858,0.28139819171145,-0.103437904844818,-0.383803975273127,-0.414025776595108,0.106824552805126,-0.244177317938166,0.339132475987167,-0.27610857013535
