group,AHR,ARNT,BCL6,BHLHE40,CDX2,E2F2,ELF1,ELK4,EOMES,ESR1,ESRRA,ETS2,ETV5,FOSL2,FOXH1,FOXK1,GATA6,GMEB1,HEY1,IKZF1,IRF4,JUN,KLF4,MECOM,MEF2A,MEIS1,MITF,NANOG,NFAT5,NFATC1,NFE2L2,NFIC,NRF1,PAX5,PRDM1,RXRA,SETDB1,SRF,STAT4,TCF12,TFAP4,TFDP1,VDR,YY1,ZBTB33,ZEB1,ZNF143,ZNF76
healthy,0.092951265535082,0.118900469133525,-0.114044603142964,0.0120804786710464,0.11386481485209,-0.133301367401909,0.0854108007851888,-0.134556577333476,-0.166199604188586,-0.112350565951032,0.107335191788808,0.136090099539316,0.153370774735605,-0.174459653593874,-0.0294468769244245,-0.105701275801344,0.134964624838444,-0.11911866020333,-0.0991342567735592,0.135370802545187,-0.133078573751858,-0.119701461927027,-0.118922187559063,0.140759704860531,0.128392715569148,-0.102750158879619,-0.126368730905803,0.225298029027766,-0.0936265503556052,0.1140364047969,0.0448530074847439,-0.110151251746427,-0.305827361969773,-0.121285468684945,-0.0816529378446544,0.0776213652100932,0.0864114304968778,0.112785222123049,0.165852109379984,0.0303095730593548,-0.121695961310669,-0.112656925198681,-0.0987108193908925,-0.133512079278814,0.15143999232225,0.148494772456466,0.217979926436026,0.0741773407101086
healthy,-0.0179573427393198,0.094858130631957,0.0634908471431913,-0.0676545960470731,0.0662478347740203,0.081002642017057,-0.0870731176619138,0.109504388973362,-0.111785613752807,-0.10024254366109,-0.105229074995828,-0.0715135784126249,0.0709627907790795,0.0613947607283888,0.0540411469139937,0.128914807538869,-0.102934140948858,-0.0634187652926689,0.097010712012738,-0.0832952190554293,0.0994557954972783,0.0920727457082703,0.101392637350937,-0.0513650299793078,0.056777567314427,0.0822529485216289,0.12750973079456,-0.063766643782055,-0.0583107814329557,0.0935029638776274,-0.106072091746262,-0.0807802775646373,-0.108139527855984,0.0177400718224302,-0.08963615810783,-0.097443742431399,-0.0922122686324987,0.0767408109276916,-0.0976326493465127,0.102676035190914,0.0927517106653338,0.0485189354386746,0.0970429178053647,0.130748174051777,-0.0029368060805849,-0.0261516429284153,0.091934680933429,-0.151584669376053
healthy,-0.0562786234773488,0.0548291759108037,-0.0545746064461705,0.0841587134253659,-0.153973912323108,-0.134309701852665,0.0417614164101107,-0.008977543926768,0.0614992003378803,-0.0799919910341397,0.0195431302648369,0.089090598062374,0.1159539324203,-0.0291517656376069,0.0940220379917475,-0.0678920863878648,-0.11819750809337,0.0531020682909027,-0.0754673645177112,0.0468640003622691,-0.0973474248506164,-0.0146416054759642,0.0058702262982105,0.130430893446602,0.0054615485340279,-0.095435558312654,-0.111860535476374,0.0933043568380354,0.0710996000673391,0.0133843571282912,-0.112352946556921,-0.119874637416791,0.0675608476166023,-0.0605078443953845,0.147318007363432,0.0452391327379905,0.0403702939602653,0.0523180230747875,0.0306650458538655,0.132685150654973,-0.0673285220857721,0.0372790029106954,-0.125779781816392,0.0442955914182905,-0.0471127544193721,0.0545583233050861,-0.1378236533007,-0.120556314356235
healthy,-0.0972548389219978,-0.0450043059483854,-0.141074869085593,0.070192684221016,-0.0815251514224774,-0.0017618834919487,-0.0078146646878148,-0.0205991125425732,-0.0774774044132807,-0.0271233365026521,-0.0656575454016053,0.068030090801486,0.0732178661597793,-0.0471787232076198,0.0368759416556138,0.0731658675402794,-0.21907998460248,0.0476386048841216,-0.0106240878271725,-0.0528205471481607,-0.109967358418555,-0.0198600437354517,0.0266765136002237,0.107529821313099,-0.0152883298385554,-0.194060779200819,-0.0168627529207911,0.0104075144965874,0.0420972967186675,-0.0047606588553722,0.005644779900467,-0.0640466917554805,-0.211191000513323,-0.12785743222086,0.126479652730508,-0.015418615414498,0.0253413524832059,0.123296215266102,-0.066143268736661,0.0057171943498565,-0.0649679659324464,-0.0341244159180085,-0.005544750216568,0.283574182415571,0.0689456895353939,0.0375469971092358,0.046557012578364,-0.119666112550463
healthy,0.0673249270595007,0.0412781117299652,-0.0351247107250151,-0.0560205599616204,-0.0983466929438867,-0.0918018882019992,0.132914321169133,0.315610842293877,0.0726395394032751,-0.12857752130645,0.0753866245332194,0.0830948972082733,-0.0208516566188295,-0.0819647624716948,-0.107442126014226,0.323604828082541,-0.0532825920997323,0.0397972234961905,-0.135735331663636,0.126082874165299,0.143938550043425,0.0275489578315178,-0.0798620417134207,0.30210102547472,-0.380179508883606,-0.155809465339757,0.0154953487434347,-0.270309285977863,-0.367513300682622,-0.0815381091697245,0.0341017764778114,-0.301949806582882,-0.106520178576894,0.127022243133948,0.261446430350615,0.0094439217684642,-0.0435392522796881,0.161815886692156,-0.0124441417484546,0.119446838671077,-0.0610004466170109,-0.047029481863874,-0.115709687916349,0.186926062426282,-0.0599120654838238,0.189501197042121,-0.131626231215274,0.0714840273027438
moderate,-0.0867702603737887,-0.0383458718116469,0.280490437555578,0.030835057981873,-0.195699683838733,0.0711717479170745,0.0056104874391082,0.0682307665981871,-0.130217603627044,0.0603919202366911,-0.215483438941556,-0.12004859514366,-0.157071025361808,0.172624291952078,0.0097504842187727,0.134029567874987,-0.0478814381648087,-0.104155984555058,0.120987446872382,-0.0821212475966244,-0.169705933566413,0.113838599974164,0.145816116083758,-0.116021713030107,0.0510147144160849,-0.180576252979685,-0.141732676637149,-0.086589276908011,0.169739867966246,-0.0108250735468278,-0.143327593429315,0.0139470383314928,-0.192147883322846,0.129810390829044,-0.177001829530576,-0.11297892851172,-0.113431387176164,0.0466145539043649,-0.184704938292738,0.0692374871265755,0.0805150193378475,0.0459358659076986,0.133577109210542,0.0388548878091467,-0.106554015476612,0.124629739121158,0.124561870321491,-0.111406634652776
moderate,0.0852467075865091,-0.0340750392200159,-0.0349849966186546,-0.0306725198792536,-0.168068586945636,-0.0467729498443745,0.0323730527930388,-0.0078690490983256,0.332335965572067,-0.240785700735405,0.0417347436583604,0.0442181387772872,-0.149482668802592,-0.116403770623405,0.0622971296595343,0.122125709414875,-0.133261015837269,0.307016792919001,-0.0527706297784305,-0.0004797950145485,-0.216164757059362,0.0982020838475877,-0.054978186853892,0.0672868660256435,-0.296963830559802,-0.167878816263305,0.027504636328011,0.122382322323856,0.0418490091754173,-0.0322865009275069,-0.0368040586881929,-0.284009558968749,-0.171127321346257,-0.316893395677587,0.103259573308614,0.0469262082753254,-0.0878465388021926,-0.357244200975527,0.0827080789662912,-0.042311807775709,-0.0576718568812427,-0.101546230098564,-0.0737281194255066,0.174189040293965,-0.326141402431128,0.0976244189447865,-0.116665131675479,-0.0053552852437767
moderate,-0.175611723701028,-0.025400291352693,-0.320148459084571,0.0368894959806046,-0.302406963572407,-0.160467223574186,-0.0410304742502609,0.139834803622369,-0.031395199916884,0.0734363857671935,-0.0021312189209212,-0.0187511184860856,-0.0223605361696569,-0.128800489197588,-0.236986909569502,-0.143100682003816,-0.0202591767082232,0.260606053060161,0.135930990330413,-0.139940089320666,-0.0433884384416654,0.0401717037539585,0.0788970899389907,-0.0012920436949076,0.139292201256995,0.166989960292026,-0.33526947599067,-0.0626810706669985,-0.145681347997232,0.122916776016384,-0.155877420304108,0.0087419788370421,-0.0483152492571051,-0.121131273649842,-0.0451730077000988,-0.316907308068013,-0.301642436995112,0.206229022491055,-0.0844825195613554,0.149498693271088,-0.315197542976316,0.348018998637783,0.0873644239559549,0.225400195144202,-0.0516038332692038,0.0342772598295016,0.0388232070184574,-0.158318742153249
severe,0.263752076525868,-0.178696459233149,-0.0836217419899266,0.222168834308268,-0.250598824471696,0.0048536006557501,-0.0633157098631343,0.1382824076935,-0.19538647016629,0.302683894166402,0.0829616042282938,0.0616317433580588,0.0799605098008968,-0.2274879937582,0.188959069038506,-0.0927168779905761,0.111626806025905,0.170421130205658,-0.0247827791058756,0.0371208025155344,0.215254985761857,-0.0343572088866443,0.309203148012643,0.0802984476840734,-0.0581052857185432,-0.0156461520018724,0.0951908923326121,0.04113485215584,0.150036694200805,-0.0499429841794987,0.171015740638546,0.133132074112386,-0.0013239954152904,-0.175766901190844,-0.009816222762381,0.12984512029016,-0.0932410966205333,0.0060971891741966,0.0122413062170139,-0.115472888234013,-0.236184529021114,0.043099527436018,-0.11270643314972,0.169298008959707,0.126126658993056,-0.309651538074403,0.196077225500742,-0.227370101795568
severe,-0.224840931913844,-0.119604474790575,0.0952385099249204,0.0405400633171774,0.12033013224852,0.0437974590172848,0.369198388880978,0.0209150605100951,0.0679860409487749,-0.0196250028070823,0.0103688387879654,-0.0669701205076523,-0.0578107108162614,-0.019592751364507,0.0084176265121585,0.0597941745346436,-0.0600683117965338,0.169658713667472,-0.378922198817437,0.223163856899928,-0.196975685528768,-0.206135095220159,-0.0597457973707806,0.0365408844378377,-0.0704210248632116,-0.145099240146365,0.261317313466532,-0.0084337522334462,0.0313322764619235,-0.0506025134006773,0.174544807217633,0.0167062472540158,0.0200442715605615,-0.0609068493034921,0.031783796657978,-0.0315580365599508,-0.107219920841652,-0.0515378052353616,-0.0217213465744781,-0.0821282985180528,0.074242820808387,-0.0093529183468428,-0.168449284570897,-0.0818864126987379,-0.0611648608440947,0.0294939442351303,-0.0636804733649697,0.0330899800822785
