group,ATF2,CEBPB,CLOCK,CREB3,CTCFL,ETV6,GATA2,GRHL2,HEY1,HOXA4,JUND,KLF9,KMT2A,MAFB,MEF2C,MEIS1,MZF1,PBX3,POU2F2,PPARG,PRDM1,RARG,RUNX2,TAL1,TCF4,THAP1,USF2,VDR,XBP1,YY1,ZEB1,ZFP42,ZNF281
healthy,-0.0397028782197442,0.0968908417221181,-0.0727215947986628,0.0667521028109471,0.101510578035948,0.0810454958731439,-0.0552198156618725,0.0405171353476732,0.0745639630828175,0.126901210651297,0.118888160654286,0.0757001525534784,-0.0696948263443321,0.0572676910472437,-0.021268689763079,-0.0898205627475645,-0.0386973613316494,0.123079325436307,-0.0935025649776924,0.106354673993193,-0.099083780943642,-0.0898519356803832,-0.0398279382134116,-0.0887882781277987,-0.0530152195249435,-0.109389645462068,-0.128016820629329,-0.0917304260110403,-0.0463296187587592,-0.0822900514833118,0.0721512694190264,0.100701933496918,0.128823306480321
healthy,0.146734564644422,0.0845339448361077,-0.0950609479605603,-0.100978727220111,-0.0933540286642133,0.137967216145156,-0.0604008398962298,0.0832487146830607,-0.0849924566362732,0.0962254086061018,0.122291099217243,0.0948739457089518,0.0414007292564622,0.108253206881005,-0.0833896002098541,-0.0871232601572953,-0.123889278585778,-0.0688305395105541,-0.0752197675392254,0.0977600240224791,0.0488526969256792,-0.097576564592178,-0.109027410080382,-0.118760447601102,-0.0990354263491874,-0.10360750063021,0.103341355353463,-0.0464643282940144,0.0905182770947949,-0.0300459669502695,0.0105774299482595,0.0915934332898661,-0.111862174196781
healthy,-0.167291468592269,0.285638162267803,-0.28738091464193,-0.146836379943309,-0.302430691282421,0.266776618973469,-0.248130185890903,0.24051000083532,-0.283272035571385,0.312905188466858,0.299590174637293,-0.229615053957903,-0.30384320837762,0.269215910544463,-0.268616393588811,-0.294861586338829,-0.265333162658719,-0.265599138899864,-0.290249210647209,0.288272020682811,0.0826690979688215,-0.236788422905616,-0.270001242646819,0.116009271176164,-0.230713571799711,-0.304727729237257,0.293554320820576,-0.319603456711578,0.289452429406592,-0.152683729735676,0.277741031377871,0.29702327270102,-0.31314650239073
healthy,-0.130507301733778,0.234815854281581,-0.201319039844524,0.0046421955326756,-0.198875757654871,0.277488465969597,-0.0640383594827883,0.242516212041306,-0.20725635356838,0.139932094142792,0.209437233470828,0.202800350688502,-0.193718403341583,0.226053568016832,-0.141345111194011,0.0811445326006902,0.0603608350695938,-0.1430825991186,-0.151338127355214,0.199822198748306,0.0725324245303805,-0.144147777836751,-0.163523451587601,0.200248789221211,-0.155826697894851,-0.233441695625205,0.158049987836326,-0.188081839177549,0.166552375002207,0.0204767489760762,-0.204500107308283,0.177922957301289,-0.280235564452426
healthy,0.541897173280962,0.549446539564958,-0.538710153733548,-0.553388559488117,-0.527015587351587,0.549282766839916,0.537396900470211,0.53157085673561,-0.516966224045081,0.542022871455278,0.551749383434391,0.504538389336877,-0.509902264818748,0.510303525380742,0.519659317571427,-0.553912910378487,-0.511241828350015,-0.507880720598061,-0.500389538254596,0.518668162257767,0.525047069331684,-0.50535696320143,-0.516695587588623,-0.587736961983135,-0.50365201147788,-0.511172633504402,0.519373091991461,0.290831441561779,0.524117401230079,0.526579787318919,0.514493232716085,0.578313655558666,-0.522168471030793
moderate,-0.219907293974205,0.200567800325772,-0.283407568013515,0.201532505114573,0.117047064551815,0.140880947569251,-0.157144735361625,0.0728068378842137,-0.157212832170246,0.210351041831024,-0.0331404468623389,0.193610576378301,-0.243400692948534,0.265464058941817,-0.286676214827335,0.0112700218268159,0.024390006954509,-0.185041727960128,-0.0388492293184199,0.242753773266632,-0.172046586981574,-0.302792459534363,-0.318023445729315,-0.134048567770919,-0.147236649707234,-0.205606964163744,-0.0994326900551203,-0.25428483285983,-0.287777113233379,0.175269835922979,-0.21360833917674,0.193497081697266,0.178629278481627
moderate,-0.0919267458322506,0.169222768174333,-0.417293614567857,-0.215006845053203,-0.199540434985237,0.276611772221282,-0.102754740351784,0.157385679298937,-0.203223284043066,0.341602671537372,0.252653735754798,0.0934796359602505,-0.401844646163852,0.192938930086203,-0.292743662284256,-0.0914184154235386,0.306291140095251,0.161108378387662,-0.200962289519922,0.243633213693066,0.289840837808782,-0.170928093401041,-0.197352641127414,-0.114049003514216,-0.0754720006747611,-0.268197614748453,0.197943135548221,-0.204087567965333,0.220397153467924,0.347780357582992,0.129033158364085,0.319654151453591,-0.317575702665937
moderate,-0.253971617172352,0.31504016996422,-0.309230146684887,-0.222452942575601,-0.307395139869235,0.369866144335132,0.310876164015446,0.237506921841124,-0.277312442308967,0.289680026484411,0.308757984835992,0.298193441432929,0.253292533667749,0.155957491227891,-0.236875709435468,0.119806703063349,-0.36230235476963,-0.294835291638411,-0.277627268852203,0.333732352749695,-0.228687724400637,0.269173108032675,-0.245930520004647,0.252923442816912,-0.281427485635366,-0.20335175036818,0.33440831761593,0.305576194041177,0.253268052356561,0.323075029855189,0.267337945285105,0.362622327066173,-0.230048230388619
severe,0.241823301432182,0.184740317505579,-0.195207162558772,-0.152869326866985,-0.218438592817383,0.21427252154076,-0.158568755781731,-0.0529341349371922,-0.0751999689594405,0.281823785711158,0.0990689108830213,-0.122281970701939,-0.162763243832254,0.190368848004635,-0.103465186732047,0.0242478322422484,0.0837531308652424,0.177254076292571,-0.140589262008471,0.216979291014272,-0.108229445451172,-0.151908610278667,-0.183358803033043,0.230732435505667,-0.192676921529185,-0.175217540829732,-0.139470961492161,-0.1290500425382,-0.229581986719894,0.230190507534724,-0.247336729645036,0.132232721215008,-0.205992045849151
severe,0.0883157291332935,0.0488269295941262,0.0034957297952705,-0.108691302338134,0.118434030749027,0.132837732220281,-0.0607544891270632,0.0628584005779205,-0.0765985607454422,0.0561906196721266,0.0698660441026989,0.0121541346122601,-0.004984651745108,-0.0313320966835361,-0.0407835142781564,-0.0542323636294056,0.124875236575498,0.0740253152017014,-0.008189070724106,-0.0123968936258206,-0.0933813005495883,-0.0448942335744468,-0.0467392020775063,-0.120020056304289,0.0509308410449835,0.0220101505628146,0.0365595074422045,-0.0205535964814519,-0.183914228673401,-0.097459651977404,0.0001132875396615,0.0455577748781787,-0.126558365736184
severe,-0.203817643484007,0.0722819457768903,-0.0476428511380106,0.271575153740926,-0.0904341991281003,0.262362748887008,0.025456763708754,0.0759342009556623,0.0802405913903337,0.0621973605817736,-0.0384304462840932,-0.0476428511380106,-0.0946860782914468,0.0146090207150879,-0.171710504673608,-0.0222951099719066,-0.0117199233348653,-0.143800733755231,-0.0444266861298383,0.151323289198075,0.041156009850341,-0.118180436232502,0.0911428456553247,-0.10934961027786,-0.0889078835310015,-0.251024404451418,-0.0311804471978742,-0.527887151510864,0.300139059915202,0.116381564278779,-0.118562015131777,-0.0005996239845745,-0.197494336010312
severe,-0.145627861550018,0.425824630500055,-0.462618629820095,-0.442479023933045,-0.450621655815665,0.424681897295187,-0.456239095399318,0.399246498431255,-0.271666467447802,0.466105577976268,-0.0524675331171579,0.390926504325756,-0.45643767298751,0.169608565156771,-0.429412879538123,-0.488942840830795,-0.247705564111645,-0.345622490212886,-0.443330579289244,0.414770054299334,0.479647116807769,-0.42788491996311,-0.471707418351763,0.388493470070168,-0.397786485513465,-0.440668244412529,0.476148217734502,-0.435184044840728,0.444394553628826,-0.0136125257312771,-0.375792972883344,0.470775965421248,-0.196027145296343
