group,AHR,AR,BACH1,BACH2,BCL6,E2F2,ELK4,EPAS1,ESR1,ETV1,ETV5,FOSL2,FOXD2,FOXH1,FOXP3,GMEB1,HEY1,IRF4,JUND,MAFF,MAX,MEIS1,MITF,MYBL2,NFAT5,NFIC,NFYB,NR2F2,NR5A2,NRF1,PRDM1,STAT4,TAL1,TCF12,TCF3,TFDP1,ZKSCAN1,ZNF143,ZNF384
healthy,-0.0286215376578019,-0.018597020720463,0.014053634005139,-0.161116047250093,0.0392273778676637,0.018688967644013,-0.0192966231340783,-0.0181626110769614,0.0377573782260564,0.0435060034885713,0.0285670026280281,-0.0356613049312939,0.0119283506548512,0.0160190534554829,-0.0348828497569502,0.0228106072029596,-0.148795591170088,0.0175702081282048,0.038767067682317,-0.0497376738564969,-0.0046659826133906,0.0526189652448626,0.0587486162562985,-0.0456592018672921,0.0058228734824708,0.0509293865651688,-0.0178617331158611,0.0423065206173459,0.0080601047302889,-0.312701270668795,0.0314255590963298,0.0345107453057759,0.14685247496411,-0.0678787011485874,0.137324960646398,0.0320253005319425,0.02268182395323,0.0606465504059461,0.0314926127213287
healthy,-0.0602559943696925,-0.0129776957358422,0.0875292936319666,0.0619505130585268,-0.0071074866031485,0.0463979819264829,0.0346919296976751,-0.102300079223929,-0.0622948344380424,0.108908987881972,0.129025551680439,0.0202017811532102,0.0301923158229597,0.0456036704487988,-0.0686534659414033,-0.0061436217676057,0.0631825224499335,0.0590421795478756,0.0440680955137578,0.105622240708383,-0.0892987071784485,0.0432963586561777,0.109526615065899,0.0691190332619033,-0.0755276080241751,-0.0552103898384368,-0.0462811293898252,0.0733136059966984,0.0859691677125653,-0.127954502468519,-0.0165580865703461,-0.102806916502094,0.0256556451184374,0.0933719204648526,0.0671150666750095,-0.000329258278967,-0.0976878459711325,0.05804952389249,0.0670407260005825
healthy,-0.0311047861041596,-0.0970209248869633,0.122127766457415,-0.0081560794827801,-0.0195418359366007,-0.145894613837691,0.0085092133836451,-0.0461935374402021,-0.102241811708593,0.0343532745601697,0.160628136337984,-0.0256033325523462,0.0442925815056331,-0.0065230949116902,0.0023244590416458,0.0110465229610641,-0.0335303515113923,-0.0139078863391236,0.116451342913729,-0.10103245903156,-0.0108934295842995,-0.0746527642168308,-0.129043627316807,-0.0624860778557143,0.0429162436295263,-0.0904682518987236,0.0666631032704103,0.0770351430565617,-0.0240768032994383,-0.0120295024693582,0.126109696768066,-0.0249152408864812,-0.0899127421365094,0.090938684981539,0.100586358102284,-0.0202581405370206,0.042907752274604,-0.0828284107348667,0.111701953813955
healthy,-0.0984686610455109,-0.154507018894065,-0.005218591022121,-0.0521570184134286,-0.190877835728687,-0.0116623344719722,0.0451741414349876,-0.0228244885875071,-0.0170200044063113,-0.004627001258317,-0.0333106456085177,-0.0274081587274447,0.06732239556944,-0.0043133055872488,-0.0179656407913482,0.0595812899522827,0.0014621681069004,-0.132172609738869,0.0954566076681493,-0.0327512047389953,0.221396577996771,-0.0978100834297995,-0.0047900401955185,-0.0132464916769033,0.068949527854955,-0.0414210810989474,0.102007465748127,0.005007302370327,-0.0288301604963707,-0.118385481262684,0.0592487374646343,-0.0143582658466217,0.0210952130144182,-0.0149594818174911,0.053318070851371,0.0504346789840609,0.0510701141430602,0.0221995367635997,-0.006615670145357
healthy,0.135710900422118,-0.300707743291529,-0.0915373976314475,-0.398015490477328,0.409088829292676,-0.368068165947814,0.436278377132489,-0.0297021797248271,-0.323561778622792,-0.37364133508303,-0.307061152596086,-0.0391642661445939,0.469964934967744,-0.239965177485013,0.341704833895688,-0.083426327569074,-0.337789068253858,0.334895353476329,0.361809457058144,-0.0092897070975501,0.25070902436889,-0.329702389836332,-0.221635178094776,-0.306108474611375,-0.382822186422641,-0.593157130761153,-0.364796819373804,-0.355228216922223,0.009238876547497,-0.20110162464056,0.425818105054891,-0.153024171824989,-0.330658635903382,0.442586395750231,0.360538459334206,-0.0756798453300382,-0.36620375518557,-0.342914179836247,0.310062962720563
moderate,-0.0519440844405287,-0.180063695041481,0.0475840228592758,0.0392291404575032,0.092862463416423,-0.0040290621418384,-0.038726934411495,0.34143162864293,-0.0373801091062912,0.0814486896435097,0.0058438521717316,0.0676836784733762,0.0351087681254815,-0.0033214081679177,-0.0009016881280601,0.0095989837430201,0.0515788436797954,-0.129352298168427,0.163091413441159,0.0813345519057805,-0.0889589527860866,-0.0310340508885514,-0.0936157724854353,-0.0014837905904787,0.114719840191552,0.0329059097873092,0.152134190619162,0.0349489752926607,0.0887306773106284,-0.0931820490820646,0.081539999833693,-0.0610636896850864,0.0587124522878663,0.0016549971970724,0.0493873991153961,0.010409361680897,-0.031878670147747,0.0240031662444368,0.05598456035614
moderate,0.0685162603964635,-0.0587470232429151,0.0023176712244416,-0.0469254022352662,-0.0380936516052544,-0.0183134484916166,0.048032401206278,0.0460102456418216,-0.289537498901861,-0.0289726259944097,-0.10110454087051,-0.118265394429058,-0.0382645096991718,0.0469973650667415,0.0330368877944876,0.331631172316169,-0.0579215959144076,-0.180621090391809,0.269515937522007,0.111477076178988,0.0215498451978931,-0.170106482122004,0.0044342950695664,-0.0501060813779858,0.0504529656282437,-0.248701790387684,0.159529993617979,0.0349723954293384,-0.0562904774052118,-0.200658975048071,0.130660709369908,0.057498945918816,-0.204834613468896,-0.040380763003972,0.198693980204225,-0.10925582344745,0.051271937754253,-0.0912696790752507,0.250363312705626
moderate,-0.0104195034566877,0.0416485323589003,0.0951669623029409,0.0035910936902978,-0.145175686225909,-0.118287019383088,0.0530012497261104,0.0021057295228523,0.0019409155722627,-0.0012440238534992,0.0197662264795183,-0.0442215745104464,0.0436782059673512,-0.230211687097933,-0.0176092180205643,0.184851312483603,0.05246979922321,-0.0603427624861533,0.105765863627825,0.034690905946187,0.0061875014732786,0.103870424787885,-0.105908409661209,-0.0159686056979488,-0.0457600994098138,0.0663140142564223,0.0666082016696537,0.021786961557823,0.127534007227446,0.0096108017029381,-0.076009810403908,-0.0148199261660085,-0.0768864136235048,0.0182076290914017,0.0516490226129471,0.199248775487967,-0.0239006887129114,-0.0015146888189775,-0.210846753577082
severe,0.214942072351268,-0.129055222981178,-0.0227139558214775,0.0217099400022353,-0.0276358440654777,0.0332505233222979,0.078006602818548,-0.126668783321601,0.204990630455141,-0.0385143569025055,0.0078027274576908,-0.206146813384535,-0.0349013929135597,0.193565751560345,0.112187355267053,0.0915222003852697,0.034809805539714,0.153783813919505,0.133212256165853,0.0180740073928893,-0.0083717750281048,-0.050595564125237,0.0225930834566216,-0.129416404536971,0.0912112626866025,0.0823792539272293,-0.0697792429912092,0.14539998036569,-0.0828426458438026,-0.0071130946301758,0.0032721670837584,-0.0508160628810785,0.121406385280169,-0.0479616375808481,3.78982236602711e-05,-0.0179778262949636,0.18594878282014,0.18102000399002,0.100274967404262
severe,0.321592464582366,0.0732595128237049,0.037146578371808,-0.0551868949115078,0.101151747975058,-0.0782339241882774,0.17770600079348,0.0982930765090537,0.123084379900673,-0.0918166513233602,-0.0447050995361585,-0.0690926357715629,-0.0131305079201217,0.0135988778213315,-0.0075746718505991,0.0455933872798322,-0.0517791001130507,0.0136796312525745,-0.0197199879095555,-0.0700616769464796,0.0286351667187894,-0.128882476263925,0.23822262216703,0.0462878667885225,0.0470954011009531,0.0296365092662034,-0.0699324714564907,0.0462232640435281,-0.102023885032483,-0.0883119524074114,0.146761285941139,0.060177456962329,0.0174104397760039,-0.144274080258853,0.0434130446362695,0.213447469461659,-0.0430577295388001,-0.244085321275276,-0.104123474244803
