group,AHR,ARNT,ATF3,BACH1,BATF,CEBPA,CEBPD,CLOCK,E2F2,EGR1,EGR2,ELF3,ELK3,ESR1,ESRRA,FOXK1,FOXO3,FOXP3,GATA1,GMEB2,HOXA1,HOXA4,HSF1,HSF2,IKZF1,JUNB,KMT2A,MAF,MAFB,MEF2A,MEF2C,MXI1,MYB,NANOG,NFATC1,NFYB,PPARG,RARG,RELA,RFX2,RFX5,RUNX2,RXRA,SPI1,TBX21,TCF12,TP63,VDR,XBP1,YY1,ZNF217,ZNF263,ZNF281
healthy,0.0765118705047224,0.166445844861841,0.113884294863283,-0.18041416361939,-0.144908177636285,0.250989999337144,0.198837930414936,-0.191208787912205,-0.185644052468571,0.148651716456039,-0.187363094946381,-0.174738340944979,0.196566477505483,-0.147993261664018,0.170461698683108,-0.147076035579554,0.128969537373073,-0.147393592332642,0.147519664092602,0.104953227305695,-0.105144280052789,0.21229418170403,-0.174399748218229,0.172218778811924,0.21017516756262,-0.187178669971811,-0.208598478112056,0.192397032260081,0.176952593295913,0.199642340284487,-0.167090755944791,-0.172571635657801,-0.156314574149433,0.328060619882009,0.154879949562092,0.185952964300976,0.21604881483866,-0.167933347547359,0.225888751724052,-0.0868823173560263,0.20958241416779,-0.120015416693664,0.127043016798871,0.130565389731151,0.182567181115486,0.0610448106647671,0.167604840561406,-0.144574339615911,-0.0390890174421778,-0.153970359824231,0.213786727259947,0.128888419200665,0.165518244872557
healthy,-0.089104359318363,-0.0271559117277493,0.0306477636519417,-0.0355723628759549,-0.0219217569759744,0.0056241953858469,-0.0616864109941859,-0.0560381684330061,-0.0307547782658188,-0.008775660011567,0.049641833903979,-0.0195283805562617,0.0009376458012308,0.0178954207835735,0.0089453016596999,0.0777518778659086,-0.0692783665309365,0.025706718140514,0.0112400538823046,-0.0603057926712763,-0.0231090611670761,0.0552093036491826,0.0745721641655486,0.10753381607834,0.0085202206646879,-0.0232685995222895,-0.0848288866280434,-0.0444111517409626,0.0265566392573293,-0.0343501521423625,-0.0187488144891473,-0.025822932772778,-0.0503223475549476,0.0065668526880027,-0.0322911545727501,0.0372012278040955,0.0241246294513138,-0.0392930978757698,0.0639337847948283,-0.0237050751582564,0.0382250192320406,-0.0579458708638798,0.0131863629357911,0.0297353225556299,0.0248447533632648,-0.0170375776145617,0.0252404210631284,-0.0237104479689944,0.0317178830270223,0.0432670173815937,0.0224775852868406,0.0050282282311237,-0.0553028695089085
healthy,-0.0783723679111634,0.119595965771142,0.0892126674358071,0.165617480267666,0.170300986504832,0.0456154142175443,-0.17166900260036,-0.136671563408759,-0.175713923400317,-0.0448465080238877,0.115206071700515,-0.0777069991813898,0.0297298752458209,-0.168395656883515,0.0304125960478672,-0.0581749247960213,-0.208079691702004,0.0804544878593319,0.0261095910631761,-0.150403746254303,-0.0455103663853526,0.207063394044707,0.0443131763781843,0.193322818357084,0.0685847006996049,-0.0496641109382724,-0.210850153425186,0.0173809323218239,0.0873127270832271,0.0641243256351219,-0.0882929561155181,-0.118339279266908,-0.134906603642123,0.140337201548853,0.0595001099357066,0.110079701446676,0.126783774225288,-0.0702648052285384,0.101806993720125,-0.232089784999825,0.148513597550815,-0.126323103309522,0.0440977858430825,0.255373082202229,0.131535109730132,0.146767757673904,0.05491272662709,-0.154595550372273,0.148981348318027,0.0280666937072543,0.0339927610723144,-0.0681865985073512,-0.208069857144722
healthy,-0.0647292536812572,-0.0425981735746294,-0.0421885954607394,0.0223553153206547,-0.0916122387781646,-0.0538107751908752,-0.12488173603963,-0.0585607224261513,0.0258549534913362,0.0649469718048026,0.0642497876555303,0.0315869053806579,-0.0102130954208265,0.0001751862245763,-0.06945082003863,0.0073279558139332,-0.0841895355056384,-0.0418093691190516,-0.114631075373467,0.107656789971814,0.061818978602406,0.059608384138939,-0.0131029914526276,0.0559299070195806,-0.0481564108404512,0.0194155819416835,-0.0765766934904553,0.0194619636541829,-0.0270001481933259,-0.0218711322879059,-0.0351264870091293,0.0551527439796613,-0.0214543012829962,0.0115218480710294,-0.0295412616307087,0.0459886242011551,-0.0263747702930081,-0.0191190280461844,-0.0286044430132879,-0.0176659665154203,0.0247090624066942,-0.0598912863065948,-0.0100602985554849,0.0844896107322848,-0.0357777755998293,0.0264796350090018,-0.0366719177860325,0.0162261493943444,-0.0258072052921229,0.252865712262818,0.0066903583689625,0.001722653592255,-0.0178488917849435
healthy,0.0425946176076769,0.0766388177374277,-0.071439236401635,-0.0651120413155436,-0.215839084538332,-0.0490298517179045,-0.174032280524397,-0.177349136650875,-0.151740518971782,-0.0847596929661672,-0.0330440840450322,-0.0873504222965553,-0.0723670941282756,-0.136138406005587,0.0501617057094731,0.268102439694739,0.0068888818406059,0.10105958700599,-0.0739067663932098,0.0926602499053644,-0.0975381537596162,0.215045810907887,0.045898346411867,0.159274614511369,0.111315046158375,-0.0688257956419795,-0.121183423559769,-0.0338773785828051,0.118827940491613,-0.328457917758945,0.254956994732208,-0.0908076129834163,-0.0570679551136364,-0.279439392712925,0.0057035311064408,-0.217394497972912,0.166097162714576,-0.148586476492968,0.0334770533385327,0.0334250668188543,0.115253591357611,-0.158008292594599,-0.0033865587226945,-0.105999584256372,0.0894635726718641,0.120656878530847,0.0656468925705145,-0.0427875195427071,0.108883993858821,0.16604087786813,0.0997939621151821,-0.0113668089635664,-0.157881724296969
moderate,0.40193724521658,0.342123940490381,0.413228763697872,0.475003346232569,-0.427535888520553,0.401608476104173,-0.418806501742847,-0.456750992061003,-0.397481856900167,0.411800318588793,0.442625257093444,-0.449245986805365,0.402832857626241,-0.42238895138149,0.123809912986131,-0.367677236330573,-0.443509532637159,0.412605236070893,0.437126877110084,-0.421901466145852,-0.418568427558001,0.418885859804463,0.450493042059323,0.4018918977528,0.406857445036742,0.421209917323203,-0.460707558275833,-0.412922668317355,0.41601763272036,0.423567985439778,-0.401551791774448,-0.419509387431442,-0.434020575841134,0.349266166035776,0.427944015694575,0.421674728826951,0.400146020397259,-0.410099788697032,0.446683855101779,-0.429111712886918,0.4215613601675,-0.420382326109212,0.413444164150828,0.423159858265755,-0.527595067351758,0.472191803478191,0.410417220943494,-0.184632198781441,-0.434508061076772,0.402209329999262,-0.418228321579649,0.429281765876094,0.413274111161652
moderate,0.10678001195729,-0.0871384587037645,-0.0305202541929111,-0.0214272589545416,-0.0896616799765341,-0.0077642499486086,0.110017339944033,-0.25762292656967,-0.0551554044955366,0.146205171216305,0.215308977708881,-0.0293157124010568,-0.109632381277834,-0.238369472670762,0.0594236195641659,0.180838517780287,-0.109581037849769,0.0636450364246159,0.0765590985332458,0.0100612051035491,-0.0739339706996055,0.214135179550245,0.126326739829423,0.138073850870318,0.0319981529214963,-0.227945488793761,-0.244640647147991,-0.10424061906527,0.0754535567024212,-0.146726525493838,-0.131801896097829,-0.0737207550199888,-0.0798317934026185,0.153380025140766,-0.0809726826086916,0.176128109388186,0.10707755804706,-0.0671329367265165,-0.0792918095757687,-0.135227938493045,0.164601451265438,-0.0801858133617843,0.0949658735536173,-0.0151406541385588,0.0682597025883954,-0.0719002871651688,0.0429402138359409,-0.0790486890803376,0.0926915079464349,0.208672410469081,-0.0620703810838717,0.102307613126671,-0.195578938972945
moderate,-0.0330089254226478,0.0372025664243927,0.0052345115428867,0.0923935509863145,0.0374282107813074,0.0337494576992535,-0.0139344766199128,-0.0594119716595532,-0.102808194407125,0.0216335745874939,-0.009019211213575,-0.0257270507465918,-0.0751966069954425,-0.0119769649446563,0.0611257124229074,0.0301686817721758,-0.0147264195567852,0.0037032864366491,-0.0292071930408073,0.0558535413993999,-0.0157749470047752,-0.0256145410949446,0.0122229235442296,0.0897122272187943,0.0050304315358711,-0.0494103324183309,-0.0006855275580226,0.169387968457036,0.063016655887606,0.0383698540602325,0.0377138602857673,-0.0691423376295817,-0.0011032196397629,0.0313842548001809,0.0526887386566067,0.0625634920129158,0.114205422118988,0.0950531541405307,-0.0548040763709795,0.0657484527349625,0.0664496066334917,-0.0515673924618561,-0.196339186718912,-0.0131219069135718,-0.0392774319168534,-0.0171628785685677,-0.021965009269638,0.0453604537492463,0.0664102282554152,0.0911343804682961,-0.0183801704940285,0.0515377024148937,0.0711976701964093
severe,0.210726314399744,-0.128838208333578,0.0197640872462199,-0.0585283325371866,0.0952726389035375,-0.217738748593747,0.100067556387709,-0.178870696106484,0.0016852897586552,-0.0563320360829514,-0.134660587652914,-0.0678342748968733,0.0207029401762586,0.204899346917037,0.0308783394949792,-0.0347498891004929,-0.0459105965033959,0.160729958413395,0.0336194803496645,-0.0766234753567648,-0.133557707882319,0.240877716760439,0.141366475181611,0.0301270277427797,0.0021610249483113,0.0726810959791926,-0.0881664341206151,-0.0144337884485539,0.0707652510110838,-0.0476188270789122,-0.071508533477382,0.051906752510454,-0.140938915707363,-0.0019614398416201,-0.101717861400651,-0.098411802930762,0.154613363117816,-0.184933954002861,-0.0871931699652849,0.114101887862669,0.0951367145636357,-0.108247678159939,0.0962582337479305,0.151826053869198,-0.056567466215988,-0.0867670442920908,-0.0990320652666428,-0.0495756787571601,-0.17170742604162,0.175946602237332,-0.157513082369053,0.0712464346447444,-0.116457049473667
severe,-0.144304073683583,-0.292142786475371,-0.206241327781481,0.23048116937215,-0.125025697997091,-0.202933683845363,0.255288498893036,-0.0875066388393595,-0.243225326890723,-0.152670467169059,0.221336506725236,0.226768176914449,0.286224698060258,0.214299656390553,0.288559505544577,0.251575506435335,0.101337130395775,-0.21994210781099,-0.229832611737617,-0.0342924849259302,0.234469798824528,-0.237809870642373,0.250229749343679,0.232897046560785,0.129970949960405,-0.120712789727447,0.226216902925096,-0.132078762272637,-0.203014753549679,0.16765214852677,0.158329132530359,-0.349767132303625,0.219034127122644,-0.0890631771622386,-0.200744801828814,-0.254412946086416,-0.207489801227957,0.240047394481511,-0.193351244795138,0.254818294608,-0.272621201675929,0.206614248421337,-0.162155622574103,-0.267416526658802,-0.0756056062456797,-0.0108795543192904,0.21282418777199,-0.0750219043746,-0.138694050144873,0.222017492241495,-0.23155128946913,0.3165771953564,-0.0191810920413123
