group,AHR,ATF1,CLOCK,E2F2,E2F3,EHF,ELF1,ELK3,EPAS1,ESR2,ETS2,GATA3,HEY1,HOXA4,JUN,KLF3,MAF,MAX,MEF2C,MITF,MXI1,NANOG,NFAT5,NFE2L2,NRF1,PAX5,PAX6,RARG,RELA,RUNX1,RUNX2,SP4,STAT2,STAT4,STAT5B,TCF12,TCF4,TFDP1,TP73,VDR,YY1,ZFX,ZKSCAN1,ZNF143
healthy,-0.117560190837888,0.003091830135539,0.053370654211883,0.0294553589266042,-0.0662751703280665,-0.0254269688208874,0.0312994997176361,0.0012968529759465,-0.0846442024525129,0.01833731365255,-0.0402614097770954,-0.0280988175535435,-0.30556263833667,0.0678459555613002,0.0388404222361361,0.0799491477374825,-0.0310123033721013,0.0612591823473932,-0.155435362304267,0.198812967770313,0.030681566215145,0.233048012061962,-7.82869556352382e-05,0.0056621797581265,-0.0925239359208155,0.0317994981746214,-0.0085814325715746,0.0425334615889844,-0.0233897778759042,0.0939234414058086,-0.474319614662559,0.0132482290116428,-0.0147558656508282,-0.0339944164298532,-0.0171292723979135,-0.118236659338515,-0.35931838363235,0.0727045045814694,0.0310832374092514,0.0596879645895427,0.0064199628867063,-0.120939217318962,0.0766994461168227,-0.0602061290804323
healthy,-0.128677924103203,-0.0739563969659527,-0.0089276691573252,0.049323052910527,-0.0111415389623757,0.0736730114098009,-0.0365295075023985,-0.0351642598479905,-0.0621363239705447,-0.0212895215806523,-0.0205155567636168,0.0178590765893231,0.0331082966579099,0.0032562062396339,0.0471695971393815,0.0281980356954422,-0.0108863155260905,-0.0547989831068687,0.0114377820202046,0.123838149560286,0.0416228830839126,0.0458901472827044,0.0524793059326026,-0.0096444241758894,-0.041756670053255,-0.115825154419474,-0.0116147112480657,0.0349204202354824,-0.0046990112635161,0.0097859242942399,-0.015778310994588,-0.0096488316896083,-0.0663102056624145,-0.017813527774234,-0.0446115356648329,0.0335442484366422,0.0106628099646046,0.0297974764561055,0.0346797848584079,0.0134383876491744,0.0634682921923787,0.0386368601392449,-0.0437585668403847,0.0378488683421991
healthy,0.0706044313273653,0.0042224411510154,0.0436249023221649,-0.0688432159464947,-0.0432109247029623,0.0767283232129723,-0.0697415891609164,-0.0670406550296441,-0.0657458782248923,-0.053676872551256,0.0077152423960247,0.0331124820914296,0.0392109138311963,-0.0135957614003681,0.0603543855157979,0.0813768845142834,-0.0446722500309652,-0.0555128145482084,0.0631060658522836,-0.0088974113694136,0.0437272390519581,-0.0140668306765165,-0.0302569678815321,-0.0864471093523276,-0.0651844058462829,0.0479869608199425,-0.0267412133358113,0.0605910647723945,-0.0165233648163681,-0.0937762975985023,0.0380455790191938,-0.0573235923463149,-0.0448618563068082,-0.0554657415674547,-0.0425838304305101,0.0539394993958014,0.0726349323601549,-0.0642925695787078,0.0509964371015065,0.053808168564882,0.078772855615025,0.0417906576682685,-0.0179107382130686,0.0057972795600112
healthy,-0.0203780483246986,-0.0530163044790121,-0.0198597090190208,0.0554321040204354,0.0552435011260209,0.140881102660069,-0.0641725071465017,-0.0627870802222406,-0.109882297659934,-0.0577125796098729,0.0100830566258845,0.0367844473363875,0.0425746917067001,0.0231669748842384,0.0314369642604959,0.23513321552547,-0.0048565144684144,0.118674087930171,0.0018615831538885,0.0151243769751885,0.0984846022488603,-0.0099193020319933,0.000277933339816,-0.0242858460922492,-0.198649242103888,-0.112472263394172,-0.0272320065793442,0.0115562307884945,-0.070802817279429,-0.0938282829705687,-0.0615946569713203,-0.0279609526740682,0.0767057645246851,-0.115444748052772,-0.0607868188641359,0.0569479845224435,0.0873309353960569,-0.0743727881793364,0.0296713932224521,0.049509447189073,0.240735393681725,0.0559515837718715,-0.0847712518509557,0.0971902768151785
healthy,0.0306955120469731,-0.137483618335339,-0.095242253622107,-0.0264611861686643,-0.0341028742220027,0.084257950496386,0.0848500376590609,3.2618341881727e-05,-0.0597104145165427,0.0537729583294751,0.0260354341902943,-0.0912095127684857,-0.0386027978559713,0.141112944349027,0.018104893278266,0.0668874288927555,-0.0516361203492045,0.0302327966943131,0.0796295730169957,-0.0017533735708318,-0.0837682469846832,-0.0849105009269392,-0.149326646739267,0.0105502282683719,-0.0881318834753674,0.0836900975989741,0.0924545175475511,-0.0783971749516783,-0.0268139293630475,0.0814980593478267,-0.0438165307576856,0.0147729877928051,0.0511693047546945,-0.0100200731169246,-0.0478948638527739,-0.0462323075790387,-0.0764094144213586,-0.0162603352245002,-0.0388937926320456,-0.03619773062154,0.0865157150124133,-0.0079599157790137,-0.146512718074983,-0.0488191930005818
moderate,-0.167416336088043,0.122377316110751,0.137485042054764,0.0717024986809894,0.101681152356727,0.0219867140109969,-0.026971316379672,-0.0848092797311636,0.0906937153065354,-0.0999998850494776,-0.135507776982154,0.174839960043291,0.199324895193933,-0.10919949559689,0.16582978806571,0.154238515574182,-0.0592587526252232,-0.15033134507142,0.196258358344795,-0.256653742389004,0.106275037675126,-0.102521786010351,0.199916890724654,-0.314882422790771,-0.31407730886899,0.175739793249988,-0.107399829183496,0.13974646498212,-0.19263534569678,-0.176497547529311,0.141202773987695,-0.308867748198641,-0.0486383528040793,-0.401787366700689,-0.166256024847829,-0.0512076134074107,0.195962360579434,0.053528235887839,-0.230712498232787,0.245322947930994,-0.0544162291839213,0.144446909496049,-0.148129121697136,0.248673642634878
moderate,0.0228248129938909,0.13124760851731,-0.143766570631692,-0.0496060943083666,-0.0153241296417649,0.196976025432528,0.0079749100132515,-0.140277309334618,0.005068238525963,0.004108172717487,0.0516613840335583,-0.0200762839140025,-0.0265536645507999,0.110216794280493,0.068587174361761,0.084277528525926,-0.0133396981442643,0.0434453594963038,-0.0601016157962187,-0.0237378071181351,-0.0199142305656459,0.0454757595921254,0.0247864808094132,-0.0505222171853761,-0.129693661310543,-0.321857885607219,0.0175167234786955,-0.0280624253474372,-0.0294830194956368,-0.183229689709312,-0.0314465124169388,-0.0309526307704928,-0.275654650884946,0.0004335528751765,-0.0056815141801773,-0.0584470270421679,0.0564337949743405,-0.0531998479253585,-0.0254336512852515,-0.025204851211235,0.0992126699633125,-0.0280300748460883,-0.01973163976324,-0.0164881460071023
moderate,-0.192025962717425,-0.0328616151996849,0.0997248422583776,-0.0896097750357348,-0.0424906545783043,0.14804926092593,-0.153449905726911,0.0309318034332552,0.214267575588777,-0.0260399069672082,-0.145976294178308,0.0297055324622931,0.196147745760791,-0.0875245741776231,0.153468336334922,-0.0971115091500096,0.274696296067783,-0.133884067592793,-0.103534576041965,-0.238456954180914,0.109736475637784,-0.141143184996435,-0.22945884535758,-0.216060587756088,-0.131301240318375,-0.081527794538206,-0.0967136622322474,-0.100715169669884,0.135102712105267,-0.16917105547604,-0.0272944593883945,0.176903013305905,-0.058327790050264,-0.128944664645751,-0.163217015781063,0.0956267330132332,0.176939715637376,0.176628301915805,-0.0218655331371893,0.0189140937025441,0.118530576696579,0.0381519941217015,0.155339996355385,0.140938859462792
severe,0.105875915801773,-0.179118128293554,-0.233231542508117,0.162676458358257,-0.141387510189591,0.148107495523241,0.203354230863217,-0.140991554858787,0.0002057697892588,0.12424628069025,-0.052018775882949,0.0300083347645677,0.128330219382819,0.0409323152176203,0.124006167836584,0.140027928875147,0.141469471788678,-0.150879471436048,0.0126803828898401,-0.050996564671792,-0.207880589032552,-0.154206131128596,-0.0692200335957065,-0.0938062045445721,-0.173393226036151,0.026611545957307,-0.0106013288059399,-0.146140128547957,0.111670658576708,0.0627814305124452,0.0473755358557598,-0.0456052807543378,-0.089414044063884,-0.153923017295128,-0.0444650332966074,0.0521004488848567,0.0385404217907235,-0.194792418327533,0.0080316595162331,0.0932177548947841,-0.0004776283327116,-0.159936805329597,0.148340104850229,-0.0415126841463715
severe,-0.142934424462515,0.162491801269921,-0.359967208664743,-0.0797868842595548,0.0043114753565364,0.124721309933572,0.613147533403712,0.309081963392161,-0.0746721302244241,-0.0099180326642758,-0.0193770489407836,0.0199508194254938,-0.235918029870403,-0.038967212633031,-0.418311470238558,0.0082131146525656,-0.216245898966054,0.0730655728672356,0.0161967211112472,0.365655733184584,-0.30624589785345,-0.0955409824254541,-0.0589999992706262,0.157311473465109,-0.0211639341645953,-0.27519671790942,0.310918028943233,-0.0109508195367542,0.0375409831424657,-0.187737702597169,-0.0120983605061745,-0.0991475397579181,0.507409829792837,0.10714753965902,0.0616557369427133,-0.371524585571048,-0.439180322439588,0.126098359096876,-0.458147535319864,-0.380377044478005,0.124163932891282,0.10547540853215,-0.0199344259830735,-0.52278687878307
