group,AHR,AR,ATF1,BARX2,CLOCK,CTCF,CTCFL,E2F1,E2F6,EGR1,EGR2,ELF1,ELK4,FOXH1,GFI1B,GTF2I,HEY1,HINFP,HNF4A,HOXA4,IRF1,KLF1,KMT2A,MAFF,MXI1,NANOG,NFATC1,NFYA,NRF1,PBX3,PPARG,PRDM1,RFX2,SPDEF,STAT4,TAL1,TBX21,TCF3,USF1,VDR,YY1,ZNF263
healthy,0.538548049240314,-0.520812986632485,0.486875783650237,0.502994453751215,-0.439097312932898,-0.504969150667637,0.535927714787159,-0.490567296001453,0.53486544421604,0.492586385886021,-0.432015269681169,-0.191573615872816,-0.47372310975439,-0.248333258145862,0.307581205300132,0.455314250963366,0.0685944627811641,0.445976498996851,0.432696823858798,0.389793821643146,0.598196682440412,0.389783621317132,-0.436190651018526,-0.488512433142553,-0.502490471446173,0.727213135533431,0.48931308690139,-0.479526807923375,-0.516457878424088,0.541381297540696,0.481817714946238,-0.47260222322533,-0.383781088624151,-0.364861351533032,0.565924143930378,-0.425391810100391,0.378801461863867,-0.0598994750201105,0.431565449670597,-0.476821997530834,-0.497065334672225,0.46375652923908
healthy,-0.329711071400828,-0.415660253562073,0.298962083565817,-0.10405828095333,-0.333562143024922,-0.316624898971693,-0.343766157827274,-0.335182236724489,0.351271200450963,-0.336776249445767,0.390656577319579,0.345989812324845,0.219425682501904,-0.386041714169094,0.340771767518351,0.316980986472772,-0.339797538881495,-0.303981032263627,0.244167664296852,0.371462713370054,0.352891759763507,0.12951635555105,-0.0456798856183419,0.0301558634192912,-0.346111929305312,0.174163325342675,-0.345386045326809,-0.319407342253786,0.178640899181279,-0.279453032889378,0.317706584431875,0.332359936971622,-0.282442933358887,-0.361340719619292,0.229267643305466,-0.273156202726384,0.339359676438544,0.354860451246847,0.248181128423866,-0.308454974321016,-0.179375130935286,-0.269934786181811
healthy,-0.548591735424777,-0.598257525087377,-0.057724694471043,-0.295408080618207,-0.59834993766184,-0.583379637435456,-0.607080825469094,-0.620033165692352,0.607158283311589,-0.551502233029278,0.588599196782943,0.576752825028056,0.444668346124894,0.553983832329454,0.365169246625021,0.588634679121354,-0.60567259246948,-0.297404115535663,0.565667482966597,0.654172483960049,0.600651620032813,0.567933844902241,-0.491581817493251,-0.583530573713137,-0.603312173364918,0.600356521843213,0.556033712803205,-0.600272792386627,0.601765104212633,-0.589487899837661,0.60925624047922,-0.0345227218062276,-0.303124867173806,0.134913172845622,0.55785456006567,0.419151755885045,0.599150420579774,-0.331977802727585,0.587817843992225,-0.619139980478652,-0.483771859975073,0.404641490481852
healthy,-0.636169914120547,-0.614663658795508,0.501536596646312,-0.644592728120215,-0.715317126116727,0.745604977202622,-0.704567160824926,-0.694734990155555,0.715232180779859,0.711783232490848,-0.780543019136111,0.666376682806891,-0.768611662855127,0.726226794403507,-0.734072197484543,0.614069499752033,-0.702002602571579,0.537123428723232,-0.709490088141809,0.702210245273399,0.710760077889934,0.601726590057698,-0.713685945182104,0.722831691532285,-0.675275292831699,0.60495650325348,0.61159313432184,-0.707945410813684,-0.273869711055497,-0.704494092383471,0.645293988737643,0.731286194712656,0.719142966140857,-0.70324246140863,0.592234907849746,0.728176805161167,0.655925473158783,0.729398187372611,0.692183657552005,-0.736766982556936,0.403322855776937,0.713840082928407
healthy,0.569289650541377,-0.145130080800521,-0.70604224066763,-0.493393980945204,-0.474798507357759,-0.473767323105079,-0.271721905388901,-0.570863070566877,-0.0840201323218792,-0.109965033278654,-0.49113308548614,0.713053738750703,-0.144110860180859,-0.122486391217407,0.123181033271715,0.195103620799383,-0.589727061250944,-0.519030832800601,0.105153167606341,0.619812766319789,0.468941586553904,0.621349601902292,-0.498824083247431,0.383046053614649,-0.704166377687625,0.343400018676639,-0.715405777442951,0.0977708546950429,-0.709917764221477,-0.575422197267272,0.45383371427482,0.568464333249129,0.495543793782719,-0.563457408342829,0.268130850442368,-0.4446618268091,0.505597464576718,0.211806759738174,0.287183831850921,0.120360274464613,0.505669015193511,0.31971711129017
moderate,0.183680002746829,0.138223383804684,-0.487895769048601,0.509256537273527,-0.265223887795953,0.171858117263616,0.526525983753786,-0.3718355950265,0.308442711971678,0.191489680441762,0.448225770916594,-0.591060368179357,-0.519880411417142,-0.456939608113112,-0.592529627369432,0.290325615958685,-0.310115407049609,-0.335160625243491,0.307244700632079,0.463686898393684,0.407651613283004,0.352644809605375,-0.426198185059249,0.081283939192419,-0.394473488547414,0.512963591230023,0.468388527801922,0.620321230049376,0.0631781451731956,0.0269778591285184,0.39811273054129,-0.167122581874068,-0.0948802376974914,0.202791674211565,-0.118817860501933,-0.151966608228763,-0.461189157770558,-0.375180985182361,-0.726300025628813,0.149401055643018,0.532696872352098,0.340235220446132
moderate,0.33459472280369,-0.301879251022869,0.247882275646039,-0.202758279764096,-0.409876378244657,-0.25051674921446,-0.330036277985751,-0.310426816853119,0.303801072345788,0.345217665074605,0.428415117825307,0.297762006006536,-0.192864027028983,0.325314748645685,0.307558892246076,0.24987053163771,-0.325062955440502,0.160774396944,-0.335053218861622,0.422834663756235,0.293219327316983,0.287415377725248,-0.499985825639567,-0.117360541774249,-0.307213625655644,0.417320315087878,-0.300433551282244,0.372512048516528,-0.418557491317195,0.0462783127780458,0.361738495171497,0.389532358857671,-0.379456911858366,-0.324370194858209,-0.179836730810476,0.0037330860600548,0.311986656390524,-0.0096092228268449,0.283841153808956,-0.336092156363626,0.447544060678909,0.347739916348347
moderate,0.721717600276395,0.769244252754292,0.116265333572282,0.701428624533154,-0.543913646738571,-0.678493294442632,-0.588118365922212,-0.73849841548689,-0.599642847374541,0.455933090634222,0.461808420104962,0.630130795669778,-0.56991566377477,-0.524358854006504,0.336440647319836,-0.743816617726623,-0.540862349189065,-0.721491733684137,0.523492073470763,0.644440136034911,0.583973644002476,0.767034553092249,0.37972309087246,0.511395852633489,-0.698356496891863,0.601990429808321,-0.597135463938119,-0.501700377598577,0.663540242061986,-0.52479037889302,0.7258635657837,-0.133119209552468,0.211636375152009,-0.710424270663493,0.702675010174397,0.459833603045054,0.70556044423186,-0.585151476878965,0.710036115893452,0.242031831621786,0.348866263414506,0.716330223478124
severe,0.55025807472062,-0.431966187557905,0.150693941787164,-0.366583225415371,-0.165146701997832,-0.308990932138817,-0.445404027598869,-0.459721141472844,0.473025619746996,-0.404692135602949,-0.488076651695293,-0.10156340977918,0.430213351316587,-0.0670472713009565,0.358245687634089,-0.378492973777077,-0.248691994695563,0.363178074007507,-0.417291538497529,0.60581852865912,0.338120625979743,0.359971965750538,-0.431268251459211,0.398077163512059,0.388100161269812,0.337996973634925,-0.458551727264927,0.328906098935332,0.516752572843574,0.374882782222379,0.489898881746751,-0.313442416552251,0.515931841113768,0.35733928453374,0.274276036080933,0.448998227164399,-0.327534785864168,-0.303743560693035,0.437116179212502,-0.399032113722382,0.534629617734862,0.444542173611203
severe,-0.201542013690099,-0.225668469409749,0.0182839584373066,0.315108572434496,-0.0918704531339312,0.171975436533997,0.208430688171761,-0.0917577878970816,0.28666864764689,0.228807001007703,-0.203119327005994,0.117236226458927,-0.196214557490497,-0.181551981666213,0.106645694195064,-0.254784385618453,-0.13653417202788,-0.0865912820358356,-0.08535196443049,0.195007429952822,0.117268416526598,-0.301315128437338,-0.134667148102944,0.0778838687307451,0.289614038838815,0.0673416215683897,0.13605132101281,-0.191659662915006,0.243002820850752,0.288455196402648,0.0778194885954025,-0.301363413538845,-0.170172792744403,0.155445836784777,-0.394682419717985,-0.18037704419621,0.0383544656303711,-0.122418827354009,0.119312485823727,-0.123867380399218,-0.195329330629536,-0.248619987659396
