group,ATF1,BCL6,CEBPD,CTCFL,CUX1,E2F2,EHF,ELK1,EPAS1,ESR2,HIF1A,MAX,MITF,MNT,NANOG,NFIC,NR2C2,NR2F2,PBX1,RUNX3,SP4,SRF,TAL1,TBX21,TCF12,TP73,VDR,XBP1,ZBTB33,ZFX,ZNF281
healthy,0.101859726275863,-0.0738733448644512,0.0748704644848443,0.0720345046334646,0.0974893813963697,-0.0939547026205942,0.116865533256465,0.0707666620627898,-0.0856649294688917,0.0799578359642853,-0.0900393106863023,0.106449763261975,-0.0980478375781541,0.107575036611229,0.215468078988338,-0.0586041668347739,0.104468353809568,-0.0633118342401776,-0.0936042619964543,-0.061298134084435,-0.119057697210103,0.0623219223660646,0.0647229668069013,0.0663315916217006,0.0256806233763987,-0.0855295679937509,-0.0546990099001997,0.0274834248759847,0.112555589290799,-0.114401925577917,0.10071773095524
healthy,-0.040116545247182,0.0255308484101273,0.0128264207819058,0.0846125284764876,0.0616801066927803,0.0731488337732144,0.133247638561198,-0.0640424012827273,-0.103909336591454,-0.0821489346202465,0.0948220459468034,-0.0686575077044958,0.0689821061095628,-0.0786834072369893,-0.0817440466196225,-0.0604856259499086,-0.0921772193248256,0.0991386363241704,0.054326674903279,0.0943940385739358,-0.0557495341936468,0.0739296114569373,0.0137084977319228,-0.0851428429348403,0.0835415257409085,0.0752459711339851,0.0834261976314745,-0.0796600915338713,0.0302607857505288,0.0779491236119487,0.0256048626515211
healthy,-0.0234038962992863,-0.0229095700497678,-0.0827259772858532,-0.0934459823477134,-0.195319806614591,-0.218545263700655,0.0915423252427603,0.0483264367097863,-0.0514977142958782,0.0091173636177432,0.004315197620309,-0.0333473648238298,-0.140807820143654,0.0023341315476275,0.0521404949155405,-0.267115841706292,-0.0131463910142305,0.0897905636750633,-0.0708027914877977,0.0756364121735595,0.0151233328740665,0.007611766544651,-0.120986654346383,0.0428342129525647,0.116476996199638,-0.0083395215119996,-0.0466217447746497,0.0580879643309556,0.0343736626535369,-0.0298721232402553,-0.138848922795786
healthy,-0.0780279143307353,-0.0647644960491808,-0.130090624904333,0.0708978902734632,0.0016682424671572,0.0678039409926925,0.139153909955132,-0.0608400640352563,-0.128746202323244,-0.105733758066225,0.121975292271334,0.0205299492962626,0.0753597826792023,-0.142572051619272,-0.0869679027748182,-0.110118011391602,0.136587855867619,0.120184391764263,-0.0388186887586584,0.0952253165212966,-0.05217304959562,0.0382040948185334,0.0177862938168995,-0.121486176707833,0.0838840508316066,0.0677167899276732,0.0991112748853913,-0.0947659076175706,-0.033125732682688,0.0899812196933417,0.0682965819770807
healthy,-0.149460239697835,-0.0120612688408613,-0.0233012624627331,-0.0201408845025797,-0.0035021957754878,0.0237128184594939,0.0389019958268454,0.0246484477058011,-0.10808215330021,0.0506492947243097,0.0509380238305889,-0.0276506853038246,0.0596381137793904,-0.10360042344202,-0.0370621402536497,-0.184803218240282,-0.0495288030089708,-0.0285089922674119,-0.0016237086863278,0.0360212816018937,0.0656900488593137,0.0529181852777163,-0.0840220659525771,0.0133552468732914,-0.0242909876815486,0.0212818177409365,-0.0772316882599803,0.0267995476859914,0.101558937425839,-0.0500929297934741,-0.0400491503982946
moderate,0.0989155646254307,0.381323872397979,0.0482487260023046,-0.107952267189627,-0.257954718170439,0.0700230922311094,-0.0962022833278893,-0.150899309652384,0.0719530412712016,0.0252482745009707,0.357278977886713,-0.0904691994146743,0.0055173837263811,-0.0154850028863867,-0.0995399599031076,-0.196139585680428,-0.118112881253642,0.128818422105447,-0.155939882439449,0.382334257483674,-0.0010671482927568,-0.0557301166930149,0.299323743476886,-0.352306520948122,0.16544204330155,-0.0138275172401899,-0.0399158872056713,-0.0168473198558636,-0.123494033283075,0.0857578532285669,-0.0457397922501848
moderate,-0.082925909219332,-0.0394558789344094,0.128539797642183,-0.0656381246554895,0.0980897981737804,-0.116260768056407,0.0856394626936331,0.0363371448441845,0.0584095560755324,0.0366060518462032,-0.133340629185792,0.0386980465521555,0.0068745468361786,0.0487810218592179,0.0967097220344535,-0.188042282583853,-0.0427218660292333,0.0225079466333074,-0.13234492957628,-0.0295209394762022,-0.0803746393593496,-0.415767390652,-0.163413102011623,0.0551581690260875,-0.0505008524057533,-0.0222361822497535,-0.0928495170069301,0.0523703236318691,-0.468106009091491,-0.0730439096039531,-0.141314445926584
moderate,0.0532585258545253,-0.31969452373359,0.0080635792059942,-0.111140413860456,-0.104717783567005,-0.0753631007426072,0.0960023571954065,-0.0157057082165544,0.0701250319207892,-0.0236377219395827,0.0453505905033795,-0.0140688510534812,-0.37756382174115,0.0374596516500332,-0.0732791412624211,0.0224591407171757,0.0507184936833877,0.0629425952257119,-0.037961677835035,-0.130357629997369,0.0590878524747922,0.200295700442365,-0.100007393051868,-0.146212214944648,0.0824572500741153,-0.363734180656698,-0.0022836683293294,0.108093949004887,-0.0585969999133437,-0.221520391819367,0.186463698733218
severe,-0.058275956009309,-0.0401246913676993,0.120101144265628,-0.184058275025955,-0.353642972056707,4.09108666228003e-05,-0.0667267678216929,0.38001960960931,-0.153420327275123,0.250953835933714,0.0221628182904552,0.0791442171566301,0.0154568692440326,0.0186318958019335,0.0133870082649,0.083496503967348,-0.10641574415536,-0.365135492497997,-0.281065378128001,-0.058832114923398,0.129960663121723,-0.0275876564226338,0.16188515749635,-0.0265694621966859,-0.0769227284900144,0.233187934490293,-0.0907560371180722,-0.12334254369805,0.0403532772588294,-0.210818273146912,-0.172655872927226
severe,-0.146918779592012,0.0740425293842431,0.151794474482551,0.0524339679756716,0.0379040732354253,0.015696173916721,-0.162307185392719,-0.109776027485674,-0.079695743725766,-0.0563701601962735,-0.0005507429444463,-0.0691020412061215,-0.0038228039673334,-0.0430551395981882,-0.0189844332615036,-0.0731354233580962,-0.266397601893079,0.0342270541651511,0.0786266544806642,0.0622501510443331,-0.0614888299152455,-0.12663848057887,-0.172609318118244,-0.0772821937633393,0.0411923325802079,0.186086321935284,-0.225723615613526,-0.450183762119205,-0.0317001159494561,0.0781731014675908,-0.358452665225097
