group,AHR,AR,ATF2,CLOCK,CREB3,E2F2,ELK3,ESR1,ETS2,ETV1,FOXD2,FOXK1,HEY1,HSF2,IRF4,JUND,MEF2C,MEIS1,NFAT5,NFIC,POU2F2,PRDM1,SPI1,STAT2,TAL1,TCF12,VEZF1,YY1,ZBTB33,ZBTB7A,ZEB1,ZFP42,ZKSCAN1,ZNF143,ZNF217
healthy,0.0876196165313186,-0.119830950444231,-0.104190410880401,-0.127121840351841,0.133224023292001,-0.155156258166195,0.139963683154768,-0.129557954084817,0.141375074368486,-0.103989072015252,-0.139061696576943,-0.116107623694451,-0.0675106810362186,0.185643664102655,-0.14006449681289,0.168952441420908,-0.0461197246440474,-0.130803053241575,-0.138082982007529,-0.126395953168247,-0.119668264025973,-0.120653757196148,0.0881304634226929,0.123670378760232,-0.0432799236019356,0.0533471553104926,0.109693480893749,-0.154329413098931,0.165899186567606,0.0880838785706562,0.17343583680918,0.12115263336703,0.145698956300558,0.19293412133362,0.152947443897026
healthy,-0.0042145997677423,-0.0766302177374576,0.11041559865786,-0.0840152241929671,-0.0832104708807497,-0.0854611671584727,0.0483122872881947,0.0872965458110885,0.0787267753769257,-0.0800778380133951,-0.0307867697019396,-0.015502168091015,-0.080074727622504,0.0993418093774931,-0.0511599305901512,0.0606175031140097,-0.0496584497183248,-0.085358410300779,0.0044332790169877,0.106318288781113,-0.0564362260900599,0.0278779307998862,-0.0800573590388857,-0.0093194014526352,-0.0266467522812975,-0.0943184543506326,0.0854589617304486,-0.0750418269132535,0.0491305815262742,0.0813711774258055,0.0699653405109555,0.0648077359186288,0.0913870517077613,-0.0769673733845683,0.0658646856233147
healthy,-0.184982868489652,-0.269294763733508,-0.138258697803814,-0.247337399112518,0.0838155579438053,-0.0435684221317645,0.140893450459805,-0.270810685331408,0.295320633156333,-0.220292945880607,-0.246250523320499,-0.194152684367655,-0.241124355273527,0.267058516101438,-0.217026220698043,0.26172863646759,-0.192439338737257,-0.271836074189059,0.250213623181259,-0.0992556093934122,-0.225735492623958,-0.065948769251741,0.195652589520455,0.227903965767284,0.186993842277038,-0.0662431803198637,0.171162642845874,-0.191938826984094,-0.261629208584382,0.252869687972869,0.294219517649257,0.254081650734889,0.231404279201143,-0.223571607929094,0.19787727978234
healthy,-0.436113955272779,-0.428365405699595,-0.294839373814885,-0.392299618230512,0.179525693068045,-0.43888035895586,0.359590880323919,-0.43026223062585,0.436725872802275,-0.377044393886395,-0.127774681606401,0.402749837958159,-0.373696307024098,0.462535299943322,-0.337198092235217,0.408227255049784,-0.318887610684411,0.142431478400227,0.343060866067448,0.427066325951143,-0.361938451646791,0.380596667593473,-0.390953126716624,0.44485618353795,0.479800190002786,-0.419462833022061,0.362362336187929,0.285517863796757,0.382134813918931,0.397768426930738,-0.365916486419352,0.390643828263444,0.382863705840097,-0.392411068029531,0.373339150638854
healthy,0.397198531373747,-0.557254692638023,0.544548119361677,-0.518876311736037,-0.551505112493784,-0.572289215570909,-0.543204806575355,-0.564661521048483,0.512277415730431,-0.514427445463443,0.641870317531294,0.507376283263158,-0.562945988669381,0.525264875600426,0.571359505833881,0.601592117641061,0.597614270346239,-0.551517093438537,-0.57673379880045,-0.505297618288021,-0.501404910943592,0.5913171552389,-0.595264095168997,0.526832179962562,-0.573126261092723,0.592682288393201,0.519415801523675,0.526880335257414,-0.501971140810824,0.538148211221096,0.550000722561341,0.533518820471768,-0.567958538134959,-0.574653802609229,0.516647682375128
moderate,0.0774829920165252,-0.098736274113701,-0.0948069973462872,-0.164349331537322,-0.123473123971838,-0.154062836835764,0.160595992535614,-0.123754624396966,0.0980559814196413,-0.0774947212009055,0.154449899920315,-0.074750092055906,-0.104952741835281,0.143060861887005,0.0360907003383058,-0.0202797597936076,-0.0536844769088156,0.0782102014481063,-0.0712547951105647,-0.0141102088095489,-0.028161771697196,-0.195736628939112,0.11974324333889,-0.147834639929804,-0.0400786230276213,0.201225887229111,0.136351768421451,0.173017198794393,0.100870985670923,0.175445139961124,-0.0610973214371904,0.186892823916336,0.118828366957223,-0.153206606375999,-0.143447924971557
moderate,0.125584693809119,-0.114378683017377,-0.023147424826424,-0.195122229416986,-0.112926980228318,-0.0996389040422165,-0.0586692940131475,-0.188644294503376,0.122965072162506,-0.103296301849091,0.031797836101618,0.190533580830767,-0.11927803887984,0.152342360995969,-0.072828340401584,0.169175924939081,-0.146686122604505,-0.0506329725569471,0.115767927605955,-0.117596715593989,-0.107819958272971,0.158984765871416,0.045271129062268,-0.231849076653435,-0.0816123389784726,-0.121438657091793,0.094625876234535,0.20984136056232,-0.139239224432338,0.0820202870410129,0.0374194304833059,0.193566752971216,0.0875071063263853,-0.140588321562731,-0.0787539310199084
moderate,0.198530405515762,0.237588734481396,-0.067881850079855,-0.196111657215661,-0.389254567322967,-0.388963363987944,-0.119438707204307,-0.235604531981925,0.210837914258456,-0.222747803466116,-0.0184573679383442,0.0941202209882482,-0.144143469537727,0.365658216185561,-0.244652869316379,0.259695258818649,0.0781104256501543,0.186797513091722,0.0703875387014875,0.285030260579659,-0.176375425192853,-0.339183641822971,0.143596742677056,0.264862131475693,0.142535385203448,-0.133126822020641,0.216357066605433,0.242257959491537,0.203694317839277,0.16186776541011,0.304779736199834,0.234653174269969,-0.206872157978987,-0.218816792153854,0.226503843486119
severe,0.182432499682784,-0.22055708987202,0.221684452462453,-0.0978290879520583,-0.161375183700143,-0.144814296694076,0.142769360496287,0.174280823210742,0.188510592909693,-0.17066001004491,-0.156516181487991,-0.178974598513464,-0.165353361547491,0.170879926771996,0.217089350322805,-0.0371884972785459,-0.201400896122219,0.113651807101813,0.197670703321072,0.162169198830571,-0.167288050017622,-0.143225398340876,0.223858445055348,0.201324793360082,0.219282151583148,-0.172513097834727,-0.141363340263506,0.19710412838471,0.176902751453018,0.144808509411784,-0.13719476082876,0.183600373249259,0.180810613820522,0.190550320553419,0.0164949119879412
severe,0.0161884400436611,-0.0655989397753174,0.143209181952508,-0.214285535678341,-0.0574071990303323,-0.0956678294146477,-0.0167573109287295,0.0207231536703493,-0.0049085430654474,0.0242664066116325,-0.343776802573771,0.0253066276586148,-0.186719677933312,-0.0431529199959038,0.102250478227582,0.107597864547225,0.0723441231268428,-0.118715226986848,0.0400322568549571,-0.0034619856719877,-0.0104834777391179,-0.0433479614422129,0.0399184826779434,-0.0913119037804096,0.0880937199163083,0.0752372379137622,0.0291261893155027,-0.133652151083358,0.0265418901519062,0.135862620808196,0.0042258980033653,0.040016003401098,0.0110360951703272,-0.0485490666771241,-0.025680457097374
